dataset,model,cal_size,test_size,Venn-Abers_brier,Venn-Abers_logloss,Venn-Abers_kuiper,Venn-Abers_ece-15,Venn-Abers_accuracy,Venn-Abers_time
taiwanese_bankruptcy_prediction,TabM_GPU,4546,2273,0.04515482507845668,0.08352841009863393,0.007564110681414604,0.011114413850009441,0.9736031889915466,0.10574385290965438
APSFailure,RealMLP_GPU,50666,25334,0.010885636280441185,0.0200413628438694,0.001185310771688819,0.0019930326379835606,0.9927765130996704,4.300005615921691
Amazon_employee_access,RealMLP_GPU,21846,10923,0.07948145481738843,0.1514025266996282,0.0046042948961257935,0.008506502956151962,0.9504714608192444,0.16897996794432402
Bank_Customer_Churn,RealMLP_GPU,6666,3334,0.19872592751369014,0.3248915074571529,0.007881218567490578,0.019706236198544502,0.8677264451980591,0.05137915397062898
Bioresponse,RealMLP_GPU,2500,1251,0.28101294153768236,0.4401224322871068,0.025927186012268066,0.05055602639913559,0.8001598715782166,0.018628559075295925
Diabetes130US,RealMLP_GPU,47678,23840,0.15303512889004425,0.27884533434173964,0.006769280880689621,0.006013459991663694,0.9119547009468079,0.36615341692231596
E-CommereShippingData,RealMLP_GPU,7332,3667,0.3587912621598905,0.5025371888991345,0.035599879920482635,0.032762836664915085,0.6722115874290466,0.08744637109339237
Fitness_Club,RealMLP_GPU,1000,500,0.31615191417889377,0.4835332226240077,0.02965920977294445,0.03303452953696251,0.7739999890327454,0.008608865085989237
GiveMeSomeCredit,RealMLP_GPU,100000,50000,0.09735776627648443,0.17600679136569378,0.0022429227828979492,0.0024582163896411657,0.9383599758148193,1.303239469183609
HR_Analytics_Job_Change_of_Data_Scientists,RealMLP_GPU,12772,6386,0.2713977200346933,0.426518258810151,0.01285572350025177,0.01687985472381115,0.8023802042007446,0.060923499055206776
Is-this-a-good-customer,RealMLP_GPU,1148,575,0.18727439117071507,0.31862136909284466,0.02610056847333908,0.027017470449209213,0.8852173686027527,0.011607060907408595
Marketing_Campaign,RealMLP_GPU,1493,747,0.1476140603954164,0.2383948797736994,0.011825822293758392,0.024539325386285782,0.898259699344635,0.022819237783551216
