dataset,model,cal_size,test_size,CIR_brier,CIR_logloss,CIR_kuiper,CIR_ece-15,CIR_accuracy,CIR_time
Marketing_Campaign,TabICL_GPU,1493,747,0.14291512174706844,0.22612431465571217,0.014522375538945198,0.026630159467458725,0.891566276550293,0.003564229002222419
NATICUSdroid,TabICL_GPU,4994,2497,0.07896057840804811,0.2996571980953268,0.003645532764494419,0.009033321402966976,0.9467360973358154,0.0047095168847590685
bank-marketing,TabICL_GPU,30140,15071,0.17192168599009397,0.2996814587176685,0.003919899929314852,0.006194393150508404,0.8932386636734009,0.013021723832935095
blood-transfusion-service-center,TabICL_GPU,498,250,0.3104659434588707,0.4998833550861988,0.04327020421624184,0.09458242356777191,0.8080000281333923,0.0025013817939907312
churn,TabICL_GPU,3333,1667,0.06635341250113148,0.23377178237697777,0.006251552142202854,0.00893599446862936,0.9604079127311707,0.003308636136353016
coil2000_insurance_policies,TabICL_GPU,6548,3274,0.10579516620883848,0.20316688056428028,0.006328831426799297,0.005392435938119888,0.9404398202896118,0.0042206719517707825
credit-g,TabICL_GPU,666,334,0.3336338876447469,0.5020051849469354,0.04933776706457138,0.07587045431137085,0.7634730339050293,0.002513259882107377
credit_card_clients_default,TabICL_GPU,20000,10000,0.2635288097766105,0.421099761215802,0.005665798671543598,0.013187899254262447,0.8224999904632568,0.008466484025120735
customer_satisfaction_in_airline,TabICL_GPU,86586,43294,0.05706775001852909,0.09289170811091081,0.0010724235326051712,0.001583578996360302,0.9599482417106628,0.026855867821723223
diabetes,TabICL_GPU,512,256,0.31244608647394784,0.7940332569865894,0.024839993566274643,0.06682479381561279,0.76171875,0.002417678013443947
hazelnut-spread-contaminant-detection,TabICL_GPU,1600,800,0.06754909739934946,0.12444110918994265,0.011067917570471764,0.027888042852282524,0.9574999809265137,0.002940567908808589
heloc,TabICL_GPU,6972,3487,0.365710431824944,0.5949975525541437,0.010938569903373718,0.017117835581302643,0.7312876582145691,0.005365082994103432
