dataset,model,cal_size,test_size,Scaling-Binning_brier,Scaling-Binning_logloss,Scaling-Binning_kuiper,Scaling-Binning_ece-15,Scaling-Binning_accuracy,Scaling-Binning_time
Is-this-a-good-customer,BetaTabPFN_GPU,1148,575,0.18858914143984673,0.3204583674887261,0.02209526300430298,0.027752181515097618,0.8852173686027527,0.004166328813880682
Marketing_Campaign,BetaTabPFN_GPU,1493,747,0.13721057819014218,0.22259989072477934,0.030393939465284348,0.022916173562407494,0.9089692234992981,0.004198641981929541
NATICUSdroid,BetaTabPFN_GPU,4994,2497,0.0924952460167086,0.15661734434026117,0.02391420677304268,0.011517771519720554,0.9343211650848389,0.008408223977312446
bank-marketing,BetaTabPFN_GPU,30140,15071,0.17737020043371585,0.30564465940030483,0.017736632376909256,0.0037885105703026056,0.8830203413963318,0.040442117024213076
blood-transfusion-service-center,BetaTabPFN_GPU,498,250,0.30916385576125516,0.5039429210359352,0.057845957577228546,0.10644757747650146,0.8040000200271606,0.0029697569552809
churn,BetaTabPFN_GPU,3333,1667,0.07443704482980064,0.149644667548604,0.01876869797706604,0.007464830297976732,0.9562087655067444,0.006253564963117242
coil2000_insurance_policies,BetaTabPFN_GPU,6548,3274,0.1063133797736217,0.20318657650716926,0.015034101903438568,0.003212147392332554,0.9404398202896118,0.010624537011608481
credit-g,BetaTabPFN_GPU,666,334,0.3405135738279799,0.5153249942396221,0.05277761444449425,0.06263787299394608,0.7544910311698914,0.0031474540010094643
credit_card_clients_default,BetaTabPFN_GPU,20000,10000,0.2651045734485915,0.4230017609962356,0.017180051654577255,0.009324261918663979,0.8224999904632568,0.026966263074427843
customer_satisfaction_in_airline,BetaTabPFN_GPU,86586,43294,0.07686372602441051,0.1269459578230455,0.022087108343839645,0.003576782299205661,0.9404074549674988,0.11008814908564091
diabetes,BetaTabPFN_GPU,512,256,0.3153636139905327,0.4727552478961661,0.03676313906908035,0.043075159192085266,0.765625,0.0029839209746569395
hazelnut-spread-contaminant-detection,BetaTabPFN_GPU,1600,800,0.1303003232202674,0.22440134168282314,0.02128594182431698,0.01339173223823309,0.918749988079071,0.004025734029710293
heloc,BetaTabPFN_GPU,6972,3487,0.3634799027961734,0.5427336058396147,0.023789677768945694,0.015133255161345005,0.7315744161605835,0.010338928084820509
in_vehicle_coupon_recommendation,BetaTabPFN_GPU,8456,4228,0.3216243229853717,0.49056860006676156,0.022508040070533752,0.014560016803443432,0.767029345035553,0.012185459025204182
jm1,BetaTabPFN_GPU,7256,3629,0.2689810907180322,0.42569561112725185,0.020363783463835716,0.010533914901316166,0.814549446105957,0.012098704930394888
kddcup09_appetency,BetaTabPFN_GPU,33333,16667,0.033961852699357434,0.07852743356619953,0.007557101082056761,0.0012413556687533855,0.9821803569793701,0.04696809407323599
online_shoppers_intention,BetaTabPFN_GPU,8220,4110,0.14657052448075591,0.2351159952756703,0.027784211561083794,0.0055390396155416965,0.8970803022384644,0.012397669954225421
polish_companies_bankruptcy,BetaTabPFN_GPU,3940,1970,0.07305585122931725,0.11953544508105382,0.018010001629590988,0.004073431249707937,0.9416243433952332,0.0076176750008016825
qsar-biodeg,BetaTabPFN_GPU,702,352,0.19974197030179291,0.3303606449892839,0.03695815056562424,0.027680734172463417,0.8664772510528564,0.0030719221103936434
seismic-bumps,BetaTabPFN_GPU,1722,862,0.11082331484620839,0.20459122285253523,0.012385549955070019,0.0064512379467487335,0.9338747262954712,0.004754618043079972
taiwanese_bankruptcy_prediction,BetaTabPFN_GPU,4546,2273,0.052513504781983425,0.09248336105035608,0.015587761066854,0.003246650565415621,0.967883825302124,0.008058968931436539
APSFailure,ModernNCA_GPU,50666,25334,0.03096923865769022,0.05242953410232166,0.01590704545378685,0.0034245934803038836,0.9818820357322693,0.07044691499322653
Amazon_employee_access,ModernNCA_GPU,21846,10923,0.09101049874406227,0.17058603044186532,0.02244117110967636,0.019323760643601418,0.9421404600143433,0.03308025188744068
Bank_Customer_Churn,ModernNCA_GPU,6666,3334,0.2009257765077567,0.32991193678804576,0.026233982294797897,0.013428175821900368,0.8638272285461426,0.010587309952825308
Bioresponse,ModernNCA_GPU,2500,1251,0.29900227827888776,0.46705994516017507,0.0352247878909111,0.0661168321967125,0.79536372423172,0.006056249141693115
Diabetes130US,ModernNCA_GPU,47678,23840,0.15509867000282063,0.2828126276553273,0.01545662060379982,0.006901174318045378,0.9119966626167297,0.06922908988781273
E-CommereShippingData,ModernNCA_GPU,7332,3667,0.3614225608161641,0.5125415087112594,0.0466906875371933,0.028232626616954803,0.6793018579483032,0.012031275080516934
