dataset,model,cal_size,test_size,Hist-quantile_brier,Hist-quantile_logloss,Hist-quantile_kuiper,Hist-quantile_ece-15,Hist-quantile_accuracy,Hist-quantile_time
Fitness_Club,TabICL_GPU,1000,500,0.314864,0.4810823613065939,0.026179984211921692,0.021080000326037407,0.7760000228881836,0.000533978920429945
GiveMeSomeCredit,TabICL_GPU,100000,50000,0.1020753312657039,0.18119667861238112,0.017362991347908974,0.0009652834269218147,0.9331600069999695,0.008629858959466219
HR_Analytics_Job_Change_of_Data_Scientists,TabICL_GPU,12772,6386,0.26904115012412416,0.42420438226263163,0.025921396911144257,0.010564851574599743,0.8070780038833618,0.0017890441231429577
Is-this-a-good-customer,TabICL_GPU,1148,575,0.18842939827120686,0.32347913136602247,0.0214073546230793,0.01197811122983694,0.8852173686027527,0.0006243421230465174
Marketing_Campaign,TabICL_GPU,1493,747,0.14845976355576065,0.23522157153928014,0.024617481976747513,0.01331879012286663,0.898259699344635,0.0006155511364340782
NATICUSdroid,TabICL_GPU,4994,2497,0.09051954056491761,0.1858304950489586,0.02352246269583702,0.01083023939281702,0.9355226159095764,0.0009186698589473963
bank-marketing,TabICL_GPU,30140,15071,0.17780743344557134,0.3059923250842652,0.01997896283864975,0.0032454896718263626,0.8830203413963318,0.0032480480149388313
blood-transfusion-service-center,TabICL_GPU,498,250,0.318156733393957,0.507494136396338,0.052859921008348465,0.10434161871671677,0.8119999766349792,0.0005089240148663521
churn,TabICL_GPU,3333,1667,0.08113777216766481,0.15684065829508922,0.01672278344631195,0.01040543895214796,0.9508098363876343,0.0007659688126295805
coil2000_insurance_policies,TabICL_GPU,6548,3274,0.10654841426341355,0.20480347697549717,0.010615340434014797,0.00272481725551188,0.9404398202896118,0.0010976700577884912
credit-g,TabICL_GPU,666,334,0.334360032190136,0.5023457431570292,0.04882773011922836,0.038593098521232605,0.7604790329933167,0.0004763798788189888
credit_card_clients_default,TabICL_GPU,20000,10000,0.2647723701990493,0.42318092516532263,0.013320554047822952,0.009754899889230728,0.8227999806404114,0.0024477369152009487
customer_satisfaction_in_airline,TabICL_GPU,86586,43294,0.06399725619697477,0.10349564553477256,0.023879509419202805,0.001678640954196453,0.949508011341095,0.0068273518700152636
diabetes,TabICL_GPU,512,256,0.31407147896575965,0.47069946171045884,0.025122549384832382,0.06369604170322418,0.75,0.0005409908480942249
hazelnut-spread-contaminant-detection,TabICL_GPU,1600,800,0.07190078125,0.1304931811720941,0.01816406100988388,0.010374960489571095,0.9587500095367432,0.0006278201472014189
heloc,TabICL_GPU,6972,3487,0.36620289929612726,0.5465286228238325,0.023750245571136475,0.016517961397767067,0.7301405072212219,0.001169061055406928
