dataset,model,cal_size,test_size,CDF-Spline_brier,CDF-Spline_logloss,CDF-Spline_kuiper,CDF-Spline_ece-15,CDF-Spline_accuracy,CDF-Spline_time
in_vehicle_coupon_recommendation,TabPFN-v2.6,8456,4228,0.298602938120014,,0.012846395373344421,0.024442747235298157,0.789262056350708,0.05109137203544378
jm1,TabPFN-v2.6,7256,3629,0.25743556321185285,,0.007842373102903366,0.014689789153635502,0.8211628794670105,0.04345465614460409
kddcup09_appetency,TabPFN-v2.6,33333,16667,0.03335406711917278,,0.0017151222564280033,0.0008094171062111855,0.9821803569793701,0.19734522211365402
online_shoppers_intention,TabPFN-v2.6,8220,4110,0.1390030731726164,,0.005871196743100882,0.012607740238308907,0.9034063220024109,0.048640454886481166
polish_companies_bankruptcy,TabPFN-v2.6,3940,1970,0.025350903534969268,,0.004641176201403141,0.008441807702183723,0.9847715497016907,0.02379936189390719
qsar-biodeg,TabPFN-v2.6,702,352,0.1868467031921985,0.3170654829745922,0.03505793586373329,0.0379246361553669,0.8778409361839294,0.0049605299718678
seismic-bumps,TabPFN-v2.6,1722,862,0.1096724921097,,0.007673434913158417,0.012094443663954735,0.9338747262954712,0.011054773116484284
taiwanese_bankruptcy_prediction,TabPFN-v2.6,4546,2273,0.04309513985698437,0.07757736776141047,0.0038897511549293995,0.00823718961328268,0.9718433618545532,0.027489117113873363
APSFailure,TabICLv2,50666,25334,0.007902502553446288,,0.000713297282345593,0.001172124408185482,0.9947501420974731,0.3000362329185009
Amazon_employee_access,TabICLv2,21846,10923,0.08103200929338952,0.15530029217766766,0.0026496881619095802,0.0036049820482730865,0.9488235712051392,0.12925358000211418
Bank_Customer_Churn,TabICLv2,6666,3334,0.19654540135829932,0.3220749909700654,0.010436860844492912,0.024759169667959213,0.8680263757705688,0.03983277594670653
Bioresponse,TabICLv2,2500,1251,0.28992377407149666,0.44855712190593017,0.0276933703571558,0.045308906584978104,0.8001598715782166,0.015611647861078382
Diabetes130US,TabICLv2,47678,23840,0.1541470506353745,0.2813037063767846,0.004002898931503296,0.006510276813060045,0.9119966626167297,0.2804505459498614
E-CommereShippingData,TabICLv2,7332,3667,0.3540898088656578,,0.012024514377117157,0.0037841268349438906,0.6880283355712891,0.04446548689156771
Fitness_Club,TabICLv2,1000,500,0.31391886073840636,0.4760591241777993,0.02107309177517891,0.04713353142142296,0.777999997138977,0.006714382907375693
GiveMeSomeCredit,TabICLv2,100000,50000,0.0973709044627567,0.17553914091438852,0.0010483339428901672,0.002094539115205407,0.9376400113105774,0.6073206581640989
HR_Analytics_Job_Change_of_Data_Scientists,TabICLv2,12772,6386,0.2673596578198951,0.4219405272593512,0.007387347519397736,0.01310587115585804,0.8075477480888367,0.07657841499894857
Is-this-a-good-customer,TabICLv2,1148,575,0.18854172257521526,0.32264436734184093,0.013787560164928436,0.02603224664926529,0.8799999952316284,0.007601774064823985
Marketing_Campaign,TabICLv2,1493,747,0.1347921887018793,,0.014542413875460625,0.030463602393865585,0.8955823183059692,0.010497356066480279
NATICUSdroid,TabICLv2,4994,2497,0.08018122864296985,,0.004653576761484146,0.010369943454861641,0.9459351301193237,0.030217585852369666
bank-marketing,TabICLv2,30140,15071,0.17130056753829215,0.29885425718738756,0.0066244937479496,0.012947981245815754,0.8938358426094055,0.17824553605169058
blood-transfusion-service-center,TabICLv2,498,250,0.3027453685192412,,0.04524680972099304,0.09048251807689667,0.8040000200271606,0.003814494935795665
churn,TabICLv2,3333,1667,0.050082755913608674,,0.011392144486308098,0.01413547433912754,0.9712057709693909,0.02024027006700635
coil2000_insurance_policies,TabICLv2,6548,3274,0.10543328308868823,0.1995415579522823,0.00511567760258913,0.004661486949771643,0.9407452940940857,0.03931714594364166
credit-g,TabICLv2,666,334,0.32924997310829623,,0.04146019369363785,0.05839383974671364,0.7514970302581787,0.004764658864587545
