dataset,model,cal_size,test_size,Kernel_brier,Kernel_logloss,Kernel_kuiper,Kernel_ece-15,Kernel_accuracy,Kernel_time
HR_Analytics_Job_Change_of_Data_Scientists,TabM_GPU,12772,6386,0.26987773180007935,0.42565467953681946,0.015720747411251068,0.010623253881931305,0.8055120706558228,2.8495096180122346
Is-this-a-good-customer,TabM_GPU,1148,575,0.19302360713481903,0.33289238810539246,0.032611604779958725,0.036097001284360886,0.8852173686027527,0.020020735915750265
Marketing_Campaign,TabM_GPU,1493,747,0.14692680537700653,0.23311343789100647,0.03381957486271858,0.030922291800379753,0.8955823183059692,0.03576520294882357
NATICUSdroid,TabM_GPU,4994,2497,0.08534359931945801,0.14763636887073517,0.009628873318433762,0.019290948286652565,0.9411293268203735,0.7372937619220465
bank-marketing,TabM_GPU,30140,15071,0.17307746410369873,0.30240076780319214,0.015798859298229218,0.020794469863176346,0.8941676020622253,6.005897687980905
blood-transfusion-service-center,TabM_GPU,498,250,0.3174143433570862,0.4960481822490692,0.049432314932346344,0.11689478904008865,0.7599999904632568,0.004691193113103509
churn,TabM_GPU,3333,1667,0.06435337662696838,0.13442246615886688,0.006160146091133356,0.00998234935104847,0.9610077738761902,0.2077182240318507
coil2000_insurance_policies,TabM_GPU,6548,3274,0.1064249724149704,0.2049698680639267,0.014201818034052849,0.01130965817719698,0.9404398202896118,0.7252993851434439
credit-g,TabM_GPU,666,334,0.33079078793525696,0.5022605657577515,0.027377404272556305,0.06180630996823311,0.7664670944213867,0.007612805115059018
credit_card_clients_default,TabM_GPU,20000,10000,0.26473650336265564,0.42232295870780945,0.014066766947507858,0.01812467910349369,0.8222000002861023,4.363652125000954
customer_satisfaction_in_airline,TabM_GPU,86586,43294,0.05279288813471794,0.08641169220209122,0.004676332697272301,0.0063042836263775826,0.9625352025032043,34.108349616173655
diabetes,TabM_GPU,512,256,0.3297320008277893,0.4967889189720154,0.04552668333053589,0.0650821402668953,0.75,0.004621966974809766
hazelnut-spread-contaminant-detection,TabM_GPU,1600,800,0.1091906949877739,0.18172740936279297,0.021819405257701874,0.027880121022462845,0.9200000166893005,0.07489076303318143
heloc,TabM_GPU,6972,3487,0.3658082187175751,0.5457662343978882,0.013005506247282028,0.024216175079345703,0.7312876582145691,0.8280137008987367
