dataset,model,cal_size,test_size,ETS_brier,ETS_logloss,ETS_kuiper,ETS_ece-15,ETS_accuracy,ETS_time
NATICUSdroid,ModernNCA_GPU,4994,2497,0.08650544018637854,0.1476193386491358,0.008965853601694107,0.015169961377978325,0.9403284192085266,0.014027110999450088
bank-marketing,ModernNCA_GPU,30140,15071,0.1718366174823818,0.2995183043914867,0.006487390026450157,0.009318809024989605,0.8937695026397705,0.047879312885925174
blood-transfusion-service-center,ModernNCA_GPU,498,250,0.3228843961216488,0.5157538276557563,0.03936655819416046,0.08726078271865845,0.7680000066757202,0.0067332840990275145
churn,ModernNCA_GPU,3333,1667,0.06310028942264272,0.13012631822371937,0.009591829031705856,0.01881139725446701,0.9610077738761902,0.011620406061410904
coil2000_insurance_policies,ModernNCA_GPU,6548,3274,0.10634805640348571,0.20350237324754616,0.007622702978551388,0.005925274454057217,0.9404398202896118,0.03193552908487618
credit-g,ModernNCA_GPU,666,334,0.3398932481312565,0.515147779658536,0.034993574023246765,0.05367789417505264,0.7514970302581787,0.0046190249267965555
credit_card_clients_default,ModernNCA_GPU,20000,10000,0.26343837937000625,0.4210481260798684,0.00822142232209444,0.014760985039174557,0.8235999941825867,0.03386983089148998
customer_satisfaction_in_airline,ModernNCA_GPU,86586,43294,0.05495447541658649,0.08810202696006321,0.0027212032582610846,0.0043403091840445995,0.9611262679100037,0.23445405601523817
diabetes,ModernNCA_GPU,512,256,0.3211194489023505,0.4807426088289094,0.03454843908548355,0.054457828402519226,0.73828125,0.007319499971345067
hazelnut-spread-contaminant-detection,ModernNCA_GPU,1600,800,0.08725763382088118,0.16371404886015167,0.022339848801493645,0.036057643592357635,0.9424999952316284,0.006466529099270701
heloc,ModernNCA_GPU,6972,3487,0.3625739809263014,0.5420160819796286,0.014005627483129501,0.019363204017281532,0.7344422340393066,0.02343039819970727
in_vehicle_coupon_recommendation,ModernNCA_GPU,8456,4228,0.3151349311484778,0.48411106842989804,0.03688126802444458,0.0498737208545208,0.7767266035079956,0.05295737087726593
jm1,ModernNCA_GPU,7256,3629,0.26393172964137107,0.4190565552777902,0.011425832286477089,0.019083287566900253,0.8139983415603638,0.035982980160042644
kddcup09_appetency,ModernNCA_GPU,33333,16667,0.033952338967982706,0.07968468757079908,0.005490746349096298,0.0067196679301559925,0.9821803569793701,0.07447671284899116
online_shoppers_intention,ModernNCA_GPU,8220,4110,0.14021559105594442,0.2268793288779569,0.007186028175055981,0.009940516203641891,0.899756669998169,0.021412645000964403
polish_companies_bankruptcy,ModernNCA_GPU,3940,1970,0.039892162768479955,0.07898452455292022,0.013108238577842712,0.01940508373081684,0.9761421084403992,0.021100857062265277
qsar-biodeg,ModernNCA_GPU,702,352,0.19273925939354541,0.3210514647220909,0.02547624707221985,0.06181735172867775,0.8607954382896423,0.013485963921993971
seismic-bumps,ModernNCA_GPU,1722,862,0.1109171775925565,0.20531836154084124,0.012212189845740795,0.015142091549932957,0.9338747262954712,0.007752452977001667
taiwanese_bankruptcy_prediction,ModernNCA_GPU,4546,2273,0.04388204440657099,0.08128951027197912,0.00645162258297205,0.010716262273490429,0.9722833037376404,0.010239894036203623
Bank_Customer_Churn,Mitra_GPU,6666,3334,0.19592139271109543,0.3203595756861672,0.006746730767190456,0.01665377989411354,0.8686262965202332,0.018772419076412916
E-CommereShippingData,Mitra_GPU,7332,3667,0.35540633489378687,0.4963711095615926,0.016042426228523254,0.0201584380120039,0.6836650967597961,0.01826220308430493
Fitness_Club,Mitra_GPU,1000,500,0.3127462818940518,0.4755441905095713,0.02238607034087181,0.04450502246618271,0.7820000052452087,0.005258518969640136
Is-this-a-good-customer,Mitra_GPU,1148,575,0.19168674382519765,0.32528072400276303,0.014551673084497452,0.020789247006177902,0.8782608509063721,0.013791863108053803
Marketing_Campaign,Mitra_GPU,1493,747,0.13462239579310356,0.2180367808625851,0.013256240636110306,0.039370231330394745,0.8995984196662903,0.006144399056211114
NATICUSdroid,Mitra_GPU,4994,2497,0.08417022166904109,0.14197349217044897,0.005541682243347168,0.008266022428870201,0.9407289028167725,0.01399887609295547
