dataset,model,cal_size,test_size,LightGBM_brier,LightGBM_logloss,LightGBM_kuiper,LightGBM_ece-15,LightGBM_accuracy,LightGBM_time
Click_prediction_small,LightGBM,35953,3995,0.25808838138478946,0.4188120268552497,0.007322445511817932,0.010160870850086212,0.8370463252067566,0.6673491632100195
Click_prediction_small,LinearModel,35953,3995,0.26106509617812734,0.4241666069847133,0.013183480128645897,0.020172717049717903,0.8350437879562378,0.6574327340349555
Click_prediction_small,NeuralNetFastAI,35953,3995,0.2587562839773606,0.42038470711144754,0.009395994246006012,0.007465988863259554,0.8372966051101685,0.6249877670779824
Click_prediction_small,NeuralNetTorch,35953,3995,0.25924440802771226,0.41818051381469123,0.005567554384469986,0.00529533950611949,0.8345431685447693,0.6340805229265243
Click_prediction_small,RandomForest,35953,3995,0.25919821865869763,0.4181880217452338,0.005249788984656334,0.009677339345216751,0.8340425491333008,0.6653296158183366
Click_prediction_small,XGBoost,35953,3995,0.2576511905761469,0.4170123088573972,0.00738728791475296,0.012679312378168106,0.8362953662872314,0.6718501071445644
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,CatBoost,1440,160,0.42611294921528187,0.6180940909253239,0.1009698212146759,0.1409536600112915,0.731249988079071,0.058755049016326666
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,ExtraTrees,1440,160,0.4993891413159382,0.6925433087171315,0.06708137691020966,0.025806356221437454,0.518750011920929,0.042979913065209985
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LightGBM,1440,160,0.5143213325826462,0.707500998325479,0.09586212038993835,0.05690070241689682,0.36250001192092896,0.04465413698926568
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,LinearModel,1440,160,0.5035440188618177,0.6966915847751163,0.07141777873039246,0.0046196081675589085,0.4375,0.046047030948102474
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetFastAI,1440,160,0.49992360834436333,0.6930622322507538,0.06645403802394867,0.03304275497794151,0.4749999940395355,0.04626114806160331
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,NeuralNetTorch,1440,160,0.5015650191382115,0.694711357749263,0.053531333804130554,0.006632569711655378,0.48124998807907104,0.04234452708624303
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,RandomForest,1440,160,0.5020098527742934,0.6951589669612733,0.10132171213626862,0.010558608919382095,0.45625001192092896,0.03880811808630824
GAMETES_Epistasis_2-Way_1000atts_0_4H_EDM-1_EDM-1_1,XGBoost,1440,160,0.4990975703325976,0.6922417412677042,0.03238210082054138,0.003296764101833105,0.53125,0.04084991617128253
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,CatBoost,1440,160,0.414393924785021,0.6041431369939997,0.04665672779083252,0.06021862104535103,0.699999988079071,0.05342013784684241
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,ExtraTrees,1440,160,0.46670394794381853,0.6594428402923567,0.06516453623771667,0.10794766992330551,0.6312500238418579,0.04569689906202257
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LightGBM,1440,160,0.44826833627918206,0.6397388670633382,0.05314724147319794,0.09401366114616394,0.6625000238418579,0.05466360505670309
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,LinearModel,1440,160,0.4975319453690027,0.6906710324773848,0.0389607809484005,0.011977174319326878,0.53125,0.04942434607073665
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetFastAI,1440,160,0.4150085868187051,0.6046406159415522,0.047183096408843994,0.07556791603565216,0.699999988079071,0.05287723685614765
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,NeuralNetTorch,1440,160,0.4114869822770828,0.6017821948799967,0.07198354601860046,0.07713628560304642,0.731249988079071,0.05163610493764281
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,RandomForest,1440,160,0.4845054428633473,0.6774561991324429,0.04079052805900574,0.03045753948390484,0.5874999761581421,0.04628768400289118
GAMETES_Epistasis_2-Way_20atts_0_1H_EDM-1_1,XGBoost,1440,160,0.4441402698314258,0.6351234044456527,0.052457042038440704,0.08238862454891205,0.643750011920929,0.054578332928940654
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,CatBoost,1440,160,0.294725655315742,0.4519777737105639,0.03724602609872818,0.08619698137044907,0.793749988079071,0.06358290906064212
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,ExtraTrees,1440,160,0.3922891410375053,0.5757333615828538,0.03845211863517761,0.04662724584341049,0.699999988079071,0.056165883084759116
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,LightGBM,1440,160,0.3081815107255669,0.4644539392583608,0.020968731492757797,0.06322377175092697,0.768750011920929,0.06449081702157855
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,LinearModel,1440,160,0.5052090656996079,0.6983934348947873,0.04189779609441757,0.04954510182142258,0.5,0.04583210311830044
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,NeuralNetFastAI,1440,160,0.2847388774951932,0.4384160218180866,0.050486668944358826,0.02009614184498787,0.793749988079071,0.06335825892165303
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,NeuralNetTorch,1440,160,0.2976814095119013,0.457972724920886,0.030105305835604668,0.0437496043741703,0.78125,0.061774422880262136
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,RandomForest,1440,160,0.3936513727504164,0.580431694238681,0.02533692494034767,0.05237114802002907,0.699999988079071,0.0588718440849334
GAMETES_Epistasis_2-Way_20atts_0_4H_EDM-1_1,XGBoost,1440,160,0.337973834252952,0.51036837684912,0.033023905009031296,0.0975523367524147,0.7437499761581421,0.06139582791365683
GAMETES_Epistasis_3-Way_20atts_0_2H_EDM-1_1,CatBoost,1440,160,0.3925584177532576,0.570632207625166,0.03098667412996292,0.058546584099531174,0.6625000238418579,0.061641867039725184
