dataset,model,cal_size,test_size,CDF-Spline_brier,CDF-Spline_logloss,CDF-Spline_kuiper,CDF-Spline_ece-15,CDF-Spline_accuracy,CDF-Spline_time
meta,CatBoost,475,53,0.09257973260925041,,0.04350906237959862,0.06632070988416672,0.9433962106704712,0.003065377939492464
meta,ExtraTrees,475,53,0.13376064031320023,,0.07382415980100632,0.12939980626106262,0.8867924809455872,0.0030332310125231743
meta,LightGBM,475,53,0.10514192374991083,0.1596256271739202,0.052071522921323776,0.07734374701976776,0.9433962106704712,0.0030151859391480684
meta,LinearModel,475,53,0.08757762509933727,,0.047961920499801636,0.08100603520870209,0.9622641801834106,0.0030485379975289106
meta,NeuralNetFastAI,475,53,0.11572372477293359,,0.08094602078199387,0.1158122718334198,0.9056603908538818,0.003100968198850751
meta,NeuralNetTorch,475,53,0.08907244112429132,,0.05729189142584801,0.07019121199846268,0.9622641801834106,0.003055464942008257
meta,RandomForest,475,53,0.121916066724393,,0.07910341024398804,0.12601962685585022,0.9056603908538818,0.0030543170869350433
meta,XGBoost,475,53,0.10236795002420039,,0.0539250448346138,0.07427475601434708,0.9433962106704712,0.003029661951586604
mozilla4,CatBoost,13990,1555,0.06820528710223718,,0.008715920150279999,0.01550824660807848,0.9536977410316467,0.06573314289562404
mozilla4,ExtraTrees,13990,1555,0.06843646619195357,,0.0044433362782001495,0.010389612056314945,0.9549839496612549,0.06546201603487134
mozilla4,LightGBM,13990,1555,0.06572721934300839,,0.008665468543767929,0.020315514877438545,0.9536977410316467,0.06557852705009282
mozilla4,LinearModel,13990,1555,0.11458276726027428,,0.009137896820902824,0.015683144330978394,0.9337620735168457,0.065018201014027
mozilla4,NeuralNetFastAI,13990,1555,0.11520661462320315,,0.009782029315829277,0.01758619211614132,0.927974283695221,0.06519754393957555
mozilla4,NeuralNetTorch,13990,1555,0.09120154630152334,0.16421700907530734,0.015918537974357605,0.026132021099328995,0.938906729221344,0.0651401411741972
mozilla4,RandomForest,13990,1555,0.06775420311931528,,0.005140185356140137,0.013125093653798103,0.953054666519165,0.06457604491151869
mozilla4,XGBoost,13990,1555,0.06770096671576434,,0.009257886558771133,0.01826043799519539,0.953054666519165,0.06478050607256591
no2,CatBoost,450,50,0.4361337737538967,0.6237426772334833,0.06496651470661163,0.13546833395957947,0.5799999833106995,0.0029823079239577055
no2,ExtraTrees,450,50,0.4041396484780541,0.5879769218559263,0.05610541254281998,0.13314984738826752,0.6399999856948853,0.0029876569751650095
no2,LightGBM,450,50,0.4639303615788517,0.6561309128321478,0.0825921893119812,0.07207504659891129,0.6200000047683716,0.002980138873681426
