dataset,model,cal_size,test_size,Platt-probs_brier,Platt-probs_logloss,Platt-probs_kuiper,Platt-probs_ece-15,Platt-probs_accuracy,Platt-probs_time
colleges_usnews,LinearModel,1171,131,0.4029630750299116,0.5840087117265085,0.07400539517402649,0.12577836215496063,0.6793892979621887,0.013643731130287051
colleges_usnews,NeuralNetFastAI,1171,131,0.41356936675311656,0.5978814767556938,0.09458298236131668,0.12682543694972992,0.6793892979621887,0.00952680199407041
colleges_usnews,NeuralNetTorch,1171,131,0.40314198039712007,0.5851597420437737,0.09444260597229004,0.1346374899148941,0.6870229244232178,0.009415764827281237
colleges_usnews,RandomForest,1171,131,0.37287897678981435,0.5527366966083607,0.06677091121673584,0.10076098889112473,0.7022900581359863,0.009491624077782035
colleges_usnews,XGBoost,1171,131,0.4077454555560492,0.5883171782102691,0.08807920664548874,0.12937752902507782,0.694656491279602,0.009574898984283209
cpu_act,CatBoost,7372,820,0.0659700393162832,0.12262855990241514,0.014143908396363258,0.03316882997751236,0.9585365653038025,0.02752700401470065
cpu_act,ExtraTrees,7372,820,0.07500563089533016,0.13189248862185443,0.011458732187747955,0.02838454395532608,0.95243901014328,0.030979437986388803
cpu_act,LightGBM,7372,820,0.06723129395553291,0.12397771843474449,0.012596664018929005,0.030265334993600845,0.9609755873680115,0.020042545860633254
cpu_act,LinearModel,7372,820,0.08359713548457497,0.15295243826352528,0.01230850163847208,0.027911605313420296,0.9451219439506531,0.019275714876130223
cpu_act,NeuralNetFastAI,7372,820,0.06962070040103277,0.12871598915599017,0.012758285738527775,0.03263778239488602,0.95243901014328,0.019800205947831273
cpu_act,NeuralNetTorch,7372,820,0.07092157347376209,0.13193313192972322,0.012259678915143013,0.02992420643568039,0.9585365653038025,0.01925809890963137
cpu_act,RandomForest,7372,820,0.0723771961314377,0.13153040270159722,0.011021530255675316,0.029386939480900764,0.9560975432395935,0.019887794042006135
cpu_act,XGBoost,7372,820,0.06635403325853227,0.12259936145560867,0.014858636073768139,0.03756386414170265,0.9560975432395935,0.01886962098069489
cpu_small,CatBoost,7372,820,0.09910187356176839,0.1730422019746962,0.017403636127710342,0.042119670659303665,0.9365853667259216,0.017142991069704294
cpu_small,ExtraTrees,7372,820,0.1046748889044372,0.17313471437784533,0.010581078939139843,0.024856064468622208,0.9280487895011902,0.02819293807260692
cpu_small,LightGBM,7372,820,0.09896728373384653,0.17474087265998914,0.015265876427292824,0.03688068315386772,0.9341463446617126,0.019619080936536193
cpu_small,LinearModel,7372,820,0.1350049156455108,0.22524648758446947,0.02180970460176468,0.050741732120513916,0.9085366129875183,0.020320625975728035
cpu_small,NeuralNetFastAI,7372,820,0.11563129948266077,0.19399763786113136,0.02081257291138172,0.03331736847758293,0.9207317233085632,0.0208166791126132
cpu_small,NeuralNetTorch,7372,820,0.10676023850513336,0.18071863499012444,0.014162019826471806,0.04342483729124069,0.9207317233085632,0.021510640159249306
cpu_small,RandomForest,7372,820,0.10180125253056889,0.17283883751194473,0.011270323768258095,0.0345248207449913,0.9329268336296082,0.027788957813754678
cpu_small,XGBoost,7372,820,0.1001168044554691,0.17820679295419223,0.01635916531085968,0.030307332053780556,0.9365853667259216,0.01924027595669031
credit-g,CatBoost,900,100,0.2742811100120818,0.43201038617878224,0.044896211475133896,0.10642436146736145,0.8199999928474426,0.011325630825012922
credit-g,ExtraTrees,900,100,0.2810054673406989,0.43880744163921276,0.04802992567420006,0.12807759642601013,0.8199999928474426,0.009108677972108126
