dataset,model,cal_size,test_size,Kernel_brier,Kernel_logloss,Kernel_kuiper,Kernel_ece-15,Kernel_accuracy,Kernel_time
fri_c2_1000_25,XGBoost,900,100,0.14686976373195648,0.2605973184108734,0.040805116295814514,0.06530891358852386,0.8899999856948853,0.00487895798869431
fri_c2_500_50,CatBoost,450,50,0.20256580412387848,0.32054972648620605,0.06614108383655548,0.12726692855358124,0.8399999737739563,0.001460694009438157
fri_c2_500_50,ExtraTrees,450,50,0.21951408684253693,0.33624863624572754,0.0588451623916626,0.1593775898218155,0.8199999928474426,0.0014556760434061289
fri_c2_500_50,LightGBM,450,50,0.20246392488479614,0.33081719279289246,0.06785328686237335,0.11630971729755402,0.8799999952316284,0.0014167570043355227
fri_c2_500_50,LinearModel,450,50,0.3998818099498749,0.5769166350364685,0.07685897499322891,0.17044027149677277,0.699999988079071,0.0013704011216759682
fri_c2_500_50,NeuralNetFastAI,450,50,0.19074583053588867,0.3386763036251068,0.06645873188972473,0.1299302577972412,0.8799999952316284,0.001404857961460948
fri_c2_500_50,NeuralNetTorch,450,50,0.2640918791294098,0.4243885278701782,0.05566366761922836,0.12129464745521545,0.7799999713897705,0.001503698993474245
fri_c2_500_50,RandomForest,450,50,0.2327152043581009,0.358010858297348,0.06624731421470642,0.15162332355976105,0.8199999928474426,0.0014760319609194994
fri_c2_500_50,XGBoost,450,50,0.26565030217170715,0.4333730936050415,0.06881193816661835,0.11939728260040283,0.8399999737739563,0.0014545009471476078
fri_c3_1000_10,CatBoost,900,100,0.10634435713291168,0.1891009509563446,0.038236793130636215,0.052757326513528824,0.9300000071525574,0.00421524909324944
fri_c3_1000_10,ExtraTrees,900,100,0.09339149296283722,0.16919980943202972,0.02258121594786644,0.049851201474666595,0.949999988079071,0.003730714088305831
fri_c3_1000_10,LightGBM,900,100,0.11348212510347366,0.18830843269824982,0.02779987081885338,0.07142668217420578,0.9300000071525574,0.004298666957765818
fri_c3_1000_10,LinearModel,900,100,0.39774006605148315,0.5837236642837524,0.059881821274757385,0.10530862957239151,0.7200000286102295,0.003593251807615161
fri_c3_1000_10,NeuralNetFastAI,900,100,0.08497586846351624,0.14762566983699799,0.03377261385321617,0.057984352111816406,0.9399999976158142,0.004553911974653602
fri_c3_1000_10,NeuralNetTorch,900,100,0.09417714923620224,0.1729840636253357,0.030692024156451225,0.06670860201120377,0.949999988079071,0.004113130969926715
fri_c3_1000_10,RandomForest,900,100,0.11302553117275238,0.20749646425247192,0.02521311677992344,0.08621853590011597,0.9399999976158142,0.0038289669901132584
fri_c3_1000_10,XGBoost,900,100,0.09271929413080215,0.17315673828125,0.024987373501062393,0.06423449516296387,0.949999988079071,0.0037674149498343468
fri_c3_1000_25,CatBoost,900,100,0.1179288849234581,0.172392800450325,0.032477106899023056,0.0826539695262909,0.9100000262260437,0.004484661854803562
fri_c3_1000_25,ExtraTrees,900,100,0.10048482567071915,0.16030281782150269,0.02413656935095787,0.060621414333581924,0.9200000166893005,0.003576552029699087
fri_c3_1000_25,LightGBM,900,100,0.0782192274928093,0.12581948935985565,0.01920495741069317,0.05685277283191681,0.9599999785423279,0.004854178987443447
fri_c3_1000_25,LinearModel,900,100,0.4316194951534271,0.6163927912712097,0.04753907024860382,0.07553327828645706,0.6299999952316284,0.003602706827223301
fri_c3_1000_25,NeuralNetFastAI,900,100,0.07837336510419846,0.13348111510276794,0.018951375037431717,0.04822859913110733,0.949999988079071,0.0035262310411781073
