dataset,model,cal_size,test_size,CatBoost_brier,CatBoost_logloss,CatBoost_kuiper,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
kdd_el_nino-small,NeuralNetTorch,703,79,0.13698416615091696,0.234631839574204,0.03722253814339638,0.05065511167049408,0.9113923907279968,0.548386381007731
kdd_el_nino-small,RandomForest,703,79,0.11390252300514836,0.17927034228365607,0.03246082365512848,0.060080599039793015,0.9113923907279968,0.9352939100936055
kdd_el_nino-small,XGBoost,703,79,0.10789970866535023,0.1822545253094439,0.034890126436948776,0.07676030695438385,0.9367088675498962,0.6754866889677942
kdd_internet_usage,CatBoost,9097,1011,0.1501861528196463,0.2367873961389581,0.011062905192375183,0.029294531792402267,0.9000989198684692,1.6036197789944708
kdd_internet_usage,ExtraTrees,9097,1011,0.16172867399894078,0.2544599617946385,0.014006431214511395,0.025937967002391815,0.888229489326477,1.5721937529742718
kdd_internet_usage,LightGBM,9097,1011,0.14944944729250118,0.2337912832007766,0.0117717944085598,0.018817756325006485,0.8961424231529236,1.7811174939852208
kdd_internet_usage,LinearModel,9097,1011,0.16838839220803206,0.27258833814799815,0.010115601122379303,0.02403777465224266,0.8753709197044373,1.549810377880931
kdd_internet_usage,NeuralNetFastAI,9097,1011,0.1519206446458554,0.2355111268817883,0.013016668148338795,0.020201262086629868,0.8902077078819275,1.555431461893022
kdd_internet_usage,NeuralNetTorch,9097,1011,0.15149752188551577,0.23430683546059086,0.016165602952241898,0.028997721150517464,0.8902077078819275,1.4608581669162959
kdd_internet_usage,RandomForest,9097,1011,0.16070223922095483,0.2509353775312852,0.013583812862634659,0.03162922337651253,0.8862512111663818,1.5949192340485752
kdd_internet_usage,XGBoost,9097,1011,0.14979785901500967,0.23641613216059237,0.01145794615149498,0.022199435159564018,0.8981207013130188,1.5557846629526466
kick,CatBoost,65684,7299,0.16118965906358448,0.2841931650463523,0.004028793424367905,0.007635120768100023,0.9035484194755554,12.948339944938198
kick,ExtraTrees,65684,7299,0.16869531510107616,0.29633138107533347,0.004742165096104145,0.011495696380734444,0.899301290512085,10.077038696967065
kick,LightGBM,65684,7299,0.16400648954062821,0.2893960962400973,0.003478914499282837,0.006529512349516153,0.9020413756370544,11.107845642836764
kick,LinearModel,65684,7299,0.17104708020833861,0.3012946246668796,0.003295931965112686,0.006107456982135773,0.8980682492256165,12.845273894025013
kick,NeuralNetFastAI,65684,7299,0.16379218179123223,0.2887825828353339,0.004660617560148239,0.009690415114164352,0.9025893807411194,13.28778223018162
kick,NeuralNetTorch,65684,7299,0.16376774112128364,0.2893513187933273,0.003809083253145218,0.008391870185732841,0.902726411819458,12.074060034938157
kick,RandomForest,65684,7299,0.16674044500551266,0.2930101711656756,0.0040581077337265015,0.007977844215929508,0.8995752930641174,12.199021151987836
kick,XGBoost,65684,7299,0.16182570460988246,0.285504886989419,0.004377063363790512,0.007841023616492748,0.9035484194755554,10.196392954792827
kin8nm,CatBoost,7372,820,0.146951091835373,0.23409695124080268,0.017522811889648438,0.039098113775253296,0.8926829099655151,1.4358595029916614
kin8nm,ExtraTrees,7372,820,0.21585172186467946,0.33863576529646383,0.023486249148845673,0.040838953107595444,0.8414633870124817,1.3594261219259351
kin8nm,LightGBM,7372,820,0.15228830300879317,0.2426174452670063,0.016703814268112183,0.03454292193055153,0.8902438879013062,1.1410455210134387
kin8nm,LinearModel,7372,820,0.3552306974831615,0.5317639191547301,0.013443544507026672,0.03243572637438774,0.7304878234863281,1.4095470060128719
kin8nm,NeuralNetFastAI,7372,820,0.12774197527747794,0.20428807908195343,0.015927724540233612,0.036625687032938004,0.9048780202865601,1.1506429561413825
kin8nm,NeuralNetTorch,7372,820,0.1258260681041451,0.19927668014771013,0.01312360167503357,0.028633765876293182,0.9121951460838318,1.5551565198693424
kin8nm,RandomForest,7372,820,0.21286977028483345,0.3351218573789033,0.020732766017317772,0.034266937524080276,0.8402438759803772,1.2299220710992813
kin8nm,XGBoost,7372,820,0.1775568169585702,0.2851535010675746,0.02391229197382927,0.037531957030296326,0.8804877996444702,1.4798563150689006
madeline,CatBoost,2826,314,0.19306812038070872,0.32890997887703316,0.024701712653040886,0.05510875955224037,0.8630573153495789,0.9518449818715453
madeline,ExtraTrees,2826,314,0.22228797055186048,0.3641340982549923,0.022853568196296692,0.04876071214675903,0.8407643437385559,0.7224371880292892
madeline,LightGBM,2826,314,0.21584887861514707,0.35958605280459366,0.021691346541047096,0.04520449414849281,0.8662420511245728,0.7461402961052954
madeline,LinearModel,2826,314,0.48503796515062336,0.6779580653361066,0.026086926460266113,0.05593634024262428,0.5764331221580505,0.5075215399265289
madeline,NeuralNetFastAI,2826,314,0.38883087314645576,0.573686084636251,0.05503064766526222,0.07702843844890594,0.7101910710334778,0.5921148199122399
madeline,NeuralNetTorch,2826,314,0.35723131282627124,0.5381052092518882,0.054969966411590576,0.08356288075447083,0.7611464858055115,0.6446124350186437
madeline,RandomForest,2826,314,0.23134808776607357,0.3820715951966975,0.024524250999093056,0.05837578698992729,0.8503184914588928,0.7289610491134226
madeline,XGBoost,2826,314,0.21825584398025966,0.3616281985757788,0.026248831301927567,0.04511324688792229,0.8662420511245728,0.733212677994743
madelon,CatBoost,2340,260,0.1906559167939428,0.3206873977997495,0.02823270484805107,0.07417767494916916,0.8615384697914124,0.7566915529314429
madelon,ExtraTrees,2340,260,0.207129922847093,0.3454402102376934,0.028215955942869186,0.04905596747994423,0.8692307472229004,0.7177496589720249
madelon,LightGBM,2340,260,0.1894848426746167,0.32524149915140177,0.04463580250740051,0.09082835912704468,0.8846153616905212,0.701451470144093
madelon,LinearModel,2340,260,0.48913171463767735,0.682242292486615,0.04154913127422333,0.02567979134619236,0.5846154093742371,0.4803952651564032
madelon,NeuralNetFastAI,2340,260,0.3994130010185719,0.5875391096162466,0.07434781640768051,0.12709632515907288,0.7346153855323792,0.7368937828578055
madelon,NeuralNetTorch,2340,260,0.429259156006203,0.6196627970127165,0.07511606812477112,0.13432733714580536,0.6807692050933838,0.6976627320982516
madelon,RandomForest,2340,260,0.21471091499247924,0.3542011376820587,0.026056569069623947,0.07746419310569763,0.8500000238418579,0.889570303959772
madelon,XGBoost,2340,260,0.19701644467956478,0.3323522999084218,0.025705810636281967,0.057854052633047104,0.8807692527770996,0.6633886920753866
mammography,CatBoost,10064,1119,0.021188629741480742,0.048912730491557116,0.002485918812453747,0.003281500656157732,0.9874888062477112,1.418943698052317
mammography,ExtraTrees,10064,1119,0.02640903932867294,0.05851813595152916,0.006526080891489983,0.009479498490691185,0.9857015013694763,1.8590342660900205
