dataset,model,cal_size,test_size,Venn-Abers_brier,Venn-Abers_logloss,Venn-Abers_kuiper,Venn-Abers_ece-15,Venn-Abers_accuracy,Venn-Abers_time
fri_c3_500_50,XGBoost,450,50,0.18243169210903915,0.31364566276206746,0.05580580234527588,0.08776840567588806,0.8999999761581421,0.008736679097637534
fri_c4_500_100,CatBoost,450,50,0.1710531833194927,0.25878928661883704,0.05030951648950577,0.09440605342388153,0.8799999952316284,0.008165336214005947
fri_c4_500_100,ExtraTrees,450,50,0.14890149309637862,0.2403102217153218,0.058546774089336395,0.08631452918052673,0.8999999761581421,0.006449068896472454
fri_c4_500_100,LightGBM,450,50,0.17155846350766052,0.2746594253447482,0.04540121555328369,0.1069321483373642,0.8999999761581421,0.008612664183601737
fri_c4_500_100,LinearModel,450,50,0.4490727574406015,0.6390841249599499,0.09552450478076935,0.1192188411951065,0.6000000238418579,0.0036412831395864487
fri_c4_500_100,NeuralNetFastAI,450,50,0.44106885647114474,0.6313886937536133,0.10003975033760071,0.1240643784403801,0.6399999856948853,0.004041325068101287
fri_c4_500_100,NeuralNetTorch,450,50,0.43263649671465765,0.6229767501526221,0.11690489947795868,0.12734061479568481,0.6800000071525574,0.0040999120101332664
fri_c4_500_100,RandomForest,450,50,0.168366127289492,0.2659024193364864,0.048675358295440674,0.05398523807525635,0.8799999952316284,0.007748499047011137
fri_c4_500_100,XGBoost,450,50,0.14931347404652018,0.24188062181602488,0.058395735919475555,0.06882545351982117,0.8999999761581421,0.008043615147471428
fried,CatBoost,36691,4077,0.09259674204713275,0.14651855308248585,0.006338263396173716,0.01220909133553505,0.9320578575134277,2.1806688278447837
fried,ExtraTrees,36691,4077,0.11407060754219982,0.179583396891863,0.009630958549678326,0.014412776567041874,0.9183223247528076,0.04519472806714475
fried,LightGBM,36691,4077,0.09333007971160327,0.14798957214198005,0.00639305729418993,0.015478570014238358,0.9308314919471741,1.8728089951910079
fried,LinearModel,36691,4077,0.23201592586320488,0.3671589282937196,0.009823997505009174,0.01612205058336258,0.8359087705612183,0.7570645639207214
fried,NeuralNetFastAI,36691,4077,0.09059087881276359,0.14285885709238538,0.006376252975314856,0.01013963297009468,0.9352465271949768,2.1117325299419463
fried,NeuralNetTorch,36691,4077,0.09075763187874529,0.14428781056411677,0.006067268550395966,0.01000246126204729,0.9352465271949768,2.019416340859607
fried,RandomForest,36691,4077,0.11555056288017888,0.18265965165389317,0.009101453237235546,0.018272608518600464,0.9170958995819092,0.9388827439397573
fried,XGBoost,36691,4077,0.09500918350352837,0.15114650385362044,0.007019273471087217,0.009962339885532856,0.9327937364578247,1.7187402760609984
gina,CatBoost,2837,316,0.061171248145683366,0.10663611771074588,0.013354655355215073,0.024212641641497612,0.9588607549667358,0.06732663209550083
gina,ExtraTrees,2837,316,0.092370449208617,0.15713469155908827,0.013167638331651688,0.03213484585285187,0.9430379867553711,0.029657047940418124
gina,LightGBM,2837,316,0.06401567746929554,0.11311772714456747,0.009379019029438496,0.01612713746726513,0.9588607549667358,0.06364042707718909
gina,LinearModel,2837,316,0.2267930719217948,0.3677976197049377,0.044473372399806976,0.08623038977384567,0.8354430198669434,0.017668623942881823
gina,NeuralNetFastAI,2837,316,0.0631240874228631,0.11960868304577559,0.03298547863960266,0.06288615614175797,0.9683544039726257,0.037686726078391075
gina,NeuralNetTorch,2837,316,0.06590638945994047,0.12496849277510066,0.03266436979174614,0.05789567530155182,0.9588607549667358,0.039514414966106415
