dataset,model,cal_size,test_size,Beta_brier,Beta_logloss,Beta_kuiper,Beta_ece-15,Beta_accuracy,Beta_time
ozone-level-8hr,LinearModel,2280,254,0.07392601050429305,0.11985996053089573,0.014830037951469421,0.037600673735141754,0.9370078444480896,0.004972272086888552
ozone-level-8hr,NeuralNetFastAI,2280,254,0.07409395334855377,0.11985990954413807,0.016212280839681625,0.03317692130804062,0.9409449100494385,0.003908147104084492
ozone-level-8hr,NeuralNetTorch,2280,254,0.07146526593491687,0.11941685231615189,0.012740164063870907,0.026471586897969246,0.9448819160461426,0.0042707419488579035
ozone-level-8hr,RandomForest,2280,254,0.07849430056460649,0.12862118683145266,0.018376559019088745,0.029824277386069298,0.9448819160461426,0.00560245499946177
ozone-level-8hr,XGBoost,2280,254,0.08421740928816132,0.14015732769041045,0.021022092550992966,0.04177045077085495,0.9370078444480896,0.004538974026218057
parity5_plus_5,CatBoost,1011,113,3.5738170611026116e-09,2.2559782797354852e-05,1.2216483810334466e-05,2.255889012303669e-05,1.0,0.0035062250681221485
parity5_plus_5,ExtraTrees,1011,113,0.04890517179722942,0.0834646156646652,0.019230496138334274,0.042787034064531326,0.9646017551422119,0.003862597979605198
parity5_plus_5,LightGBM,1011,113,1.0462836134393369e-08,8.010370805743942e-06,6.9487568907788955e-06,8.084714863798581e-06,1.0,0.0036668379325419664
parity5_plus_5,LinearModel,1011,113,0.48499540946085373,0.6780241625588767,0.037311650812625885,0.03688642382621765,0.5575221180915833,0.005749226082116365
parity5_plus_5,NeuralNetFastAI,1011,113,7.867685720137525e-10,1.6545912266130254e-05,8.807693120616022e-06,1.6545714970561676e-05,1.0,0.0034626838751137257
parity5_plus_5,NeuralNetTorch,1011,113,5.428433510277067e-10,4.658231525627733e-06,3.166969236190198e-06,4.668343080993509e-06,1.0,0.0036418919917196035
parity5_plus_5,RandomForest,1011,113,0.05754505402203763,0.09882092201235673,0.023631025105714798,0.04106157273054123,0.9557521939277649,0.003882317105308175
parity5_plus_5,XGBoost,1011,113,1.407331253124544e-12,9.652781435687871e-08,1.1920928955078125e-07,1.8835224580016074e-07,1.0,0.003895179834216833
pbcseq,CatBoost,1750,195,0.18925266163982052,0.32197462948295913,0.0388353131711483,0.06814074516296387,0.8820512890815735,0.003931389888748527
pbcseq,ExtraTrees,1750,195,0.23555463794474843,0.3830844457423893,0.03219584748148918,0.07925877720117569,0.8410256505012512,0.003470582887530327
pbcseq,LightGBM,1750,195,0.1966316059179119,0.3322154618743121,0.03490347042679787,0.06220326945185661,0.8871794939041138,0.0039752700831741095
pbcseq,LinearModel,1750,195,0.3935677192314956,0.5720307478661654,0.04315612465143204,0.10400932282209396,0.6666666865348816,0.004042804008349776
pbcseq,NeuralNetFastAI,1750,195,0.2915941388379181,0.45791538974790835,0.033594828099012375,0.06723452359437943,0.7897436022758484,0.003997776890173554
pbcseq,NeuralNetTorch,1750,195,0.3104179390087702,0.48545017448571215,0.07358578592538834,0.14134374260902405,0.7897436022758484,0.0045121279545128345
pbcseq,RandomForest,1750,195,0.24086130803172356,0.3983448332241494,0.052553094923496246,0.10643983632326126,0.8666666746139526,0.004387108143419027
pbcseq,XGBoost,1750,195,0.18992503331637897,0.32740094431766914,0.044426970183849335,0.0778186023235321,0.892307698726654,0.0039029570762068033
pc1,CatBoost,998,111,0.07924991246781271,0.1638719764706538,0.019383061677217484,0.048705484718084335,0.9639639854431152,0.006009591976180673
pc1,ExtraTrees,998,111,0.08075480052167439,0.16186486060540747,0.014832953922450542,0.03769587352871895,0.954954981803894,0.004428973188623786
pc1,LightGBM,998,111,0.08419017693209763,0.17840048746101692,0.019275113940238953,0.040934644639492035,0.9639639854431152,0.003957618027925491
pc1,LinearModel,998,111,0.09821218335047399,0.18921407297565074,0.02002319134771824,0.02299453504383564,0.9459459185600281,0.006176969967782497
pc1,NeuralNetFastAI,998,111,0.09661720609192277,0.17983559930885767,0.03239021822810173,0.05681334808468819,0.954954981803894,0.006108221132308245
pc1,NeuralNetTorch,998,111,0.0925856242562698,0.16950890737986035,0.02227040007710457,0.018924446776509285,0.9459459185600281,0.004393399227410555
pc1,RandomForest,998,111,0.08253180162111311,0.15717030919139877,0.022066885605454445,0.026653006672859192,0.9459459185600281,0.003838289063423872
pc1,XGBoost,998,111,0.08340295734257572,0.15642536649082528,0.017195546999573708,0.0296300258487463,0.954954981803894,0.0037198150530457497
pc2,CatBoost,5030,559,0.006182167998499602,0.01316639010777544,0.0029870395082980394,0.003295274218544364,0.9964221715927124,0.014077075058594346
pc2,ExtraTrees,5030,559,0.006818397245530864,0.016302019156523226,0.003566840197890997,0.0007854000432416797,0.9964221715927124,0.011309378780424595
pc2,LightGBM,5030,559,0.006342025300953914,0.013236572438157164,0.003205027198418975,0.0026752864941954613,0.9964221715927124,0.009617283940315247
pc2,LinearModel,5030,559,0.006792426026137584,0.016458762101106143,0.0035939908120781183,0.0006664948887191713,0.9964221715927124,0.01017581601627171
pc2,NeuralNetFastAI,5030,559,0.0065948196869872735,0.013952677687506599,0.0033716883044689894,0.0009823289001360536,0.9964221715927124,0.005459212930873036
pc2,NeuralNetTorch,5030,559,0.006780305929422899,0.015368612615471561,0.003395066363736987,0.0002124726597685367,0.9964221715927124,0.0129547871183604
pc2,RandomForest,5030,559,0.006834007806435585,0.016356616569214964,0.003578176721930504,0.0006493321270681918,0.9964221715927124,0.011050296016037464
pc2,XGBoost,5030,559,0.005797582957841914,0.011944050428084758,0.003044223180040717,0.0033368743024766445,0.9964221715927124,0.009848562069237232
pc3,CatBoost,1406,157,0.1759029739498493,0.2799396979492435,0.04157257452607155,0.08861599117517471,0.8789808750152588,0.006989606888964772
pc3,ExtraTrees,1406,157,0.1663115838996104,0.2710466419241828,0.041091449558734894,0.06361174583435059,0.8980891704559326,0.00425731111317873
pc3,LightGBM,1406,157,0.1753470094689258,0.28414529055922166,0.034095048904418945,0.04630875587463379,0.8789808750152588,0.007541700964793563
pc3,LinearModel,1406,157,0.187949644650761,0.3198502014639628,0.04140368849039078,0.09203606843948364,0.8917197585105896,0.00421940884552896
pc3,NeuralNetFastAI,1406,157,0.17770439861101825,0.2882847117024661,0.03935100883245468,0.06737841665744781,0.8980891704559326,0.006488810060545802
pc3,NeuralNetTorch,1406,157,0.17075359209858015,0.28894460927478227,0.03052644431591034,0.0508660264313221,0.8980891704559326,0.00405023992061615
pc3,RandomForest,1406,157,0.1709254090509004,0.2922707948582469,0.031009573489427567,0.06669257581233978,0.8853503465652466,0.0044923690147697926
pc3,XGBoost,1406,157,0.1763570529973946,0.2816529911694717,0.037966735661029816,0.06661316752433777,0.8789808750152588,0.007500082021579146
pc4,CatBoost,1312,146,0.12353289998897601,0.1891731528032307,0.038884226232767105,0.06248464435338974,0.8972602486610413,0.004349296912550926
pc4,ExtraTrees,1312,146,0.12648000952673094,0.2140683247567534,0.02361511066555977,0.05456849932670593,0.8904109597206116,0.008798247901722789
pc4,LightGBM,1312,146,0.12144880804610167,0.19390638352129758,0.02903197705745697,0.07388921082019806,0.9178082346916199,0.004300214117392898
pc4,LinearModel,1312,146,0.11783938758468605,0.19957961965876095,0.04079895094037056,0.07918749004602432,0.9246575236320496,0.0039851050823926926
pc4,NeuralNetFastAI,1312,146,0.12114781756082396,0.20061720469417738,0.03354376554489136,0.05644106864929199,0.9178082346916199,0.00457341899164021
pc4,NeuralNetTorch,1312,146,0.13400834082298993,0.20964194190466703,0.035119254142045975,0.04286855459213257,0.9109588861465454,0.004250996047630906
pc4,RandomForest,1312,146,0.12377781965996675,0.18683765501123467,0.028891120105981827,0.06551385670900345,0.9041095972061157,0.004478435032069683
pc4,XGBoost,1312,146,0.13414400206307553,0.2074211596444869,0.03853935748338699,0.06323635578155518,0.8972602486610413,0.004256851971149445
philippine,CatBoost,5248,584,0.3175845113361901,0.4757817670337732,0.02005624771118164,0.05756448209285736,0.7688356041908264,0.006453437963500619
philippine,ExtraTrees,5248,584,0.3159596779490988,0.4748579961022465,0.019175535067915916,0.03550877049565315,0.767123281955719,0.006653121206909418
philippine,LightGBM,5248,584,0.30060300855926053,0.45507257257522427,0.015633247792720795,0.02868778444826603,0.7739726305007935,0.006259839050471783
philippine,LinearModel,5248,584,0.3722199796106753,0.5547388738596888,0.020290134474635124,0.049980293959379196,0.7260273694992065,0.005869921995326877
philippine,NeuralNetFastAI,5248,584,0.36903551363999554,0.5444677373891376,0.03214222192764282,0.050226204097270966,0.7345890402793884,0.0066273941192775965
philippine,NeuralNetTorch,5248,584,0.36279197116038536,0.5414439432664031,0.029442183673381805,0.059214212000370026,0.7380136847496033,0.006303149042651057
philippine,RandomForest,5248,584,0.3215379158618698,0.485959093640647,0.017023395746946335,0.04583260789513588,0.7619863152503967,0.006279835011810064
philippine,XGBoost,5248,584,0.299759330323606,0.45617693153542466,0.01954137533903122,0.04476529732346535,0.7825342416763306,0.006291756173595786
phoneme,CatBoost,4863,541,0.13478616547924158,0.21815998007269635,0.014317773282527924,0.03616882115602493,0.8964880108833313,0.006795722059905529
phoneme,ExtraTrees,4863,541,0.12276674531400011,0.19991147796048406,0.010272357612848282,0.026062648743391037,0.9094269871711731,0.007294185925275087
phoneme,LightGBM,4863,541,0.13273112934325595,0.21569446646001916,0.013241417706012726,0.0263653751462698,0.9075785875320435,0.00706698396243155
phoneme,LinearModel,4863,541,0.32497805319731254,0.48562292501968846,0.02256814017891884,0.07405837625265121,0.7634010910987854,0.011139643844217062
phoneme,NeuralNetFastAI,4863,541,0.15670837508736718,0.25127709200451487,0.017109548673033714,0.04173564910888672,0.8872458338737488,0.007030328968539834
phoneme,NeuralNetTorch,4863,541,0.1427210354704596,0.23970252335761888,0.025486156344413757,0.0425197035074234,0.9094269871711731,0.007265702122822404
phoneme,RandomForest,4863,541,0.13441467397343282,0.21976821018573758,0.018074216321110725,0.04760497808456421,0.905730128288269,0.007559007965028286
phoneme,XGBoost,4863,541,0.13067864675811067,0.2161585142893751,0.018434084951877594,0.04800061509013176,0.9112753868103027,0.007321093929931521
pm10,CatBoost,450,50,0.43207743617115585,0.624532260872539,0.09146278351545334,0.13885340094566345,0.7400000095367432,0.005649719154462218
pm10,ExtraTrees,450,50,0.44809376005807605,0.6401005926713988,0.07995554804801941,0.11975191533565521,0.6399999856948853,0.005873568821698427
pm10,LightGBM,450,50,0.43282542155233955,0.6251889211141319,0.0920153260231018,0.12152945250272751,0.699999988079071,0.0038397330790758133
pm10,LinearModel,450,50,0.49949249142641766,0.6926391917078892,0.0806020200252533,0.013263617642223835,0.47999998927116394,0.006615143036469817
