dataset,model,cal_size,test_size,Quadratic_brier,Quadratic_logloss,Quadratic_kuiper,Quadratic_ece-15,Quadratic_accuracy,Quadratic_time
hiva_agnostic,RandomForest,3806,423,0.06433596623806967,0.1398328352016666,0.014639719389379025,0.021469328552484512,0.9645389914512634,0.016073354985564947
hiva_agnostic,XGBoost,3806,423,0.061401877523556546,0.13314535912157632,0.01139221340417862,0.020370155572891235,0.9669030904769897,0.007612396031618118
houses,CatBoost,18576,2064,0.016287684621023743,0.029321349808863112,0.003434046870097518,0.008363778702914715,0.9903100728988647,0.023154136957600713
houses,ExtraTrees,18576,2064,0.015755786658976194,0.0285929852604516,0.004109114408493042,0.0068498048931360245,0.9898256063461304,0.030464356066659093
houses,LightGBM,18576,2064,0.01808324947784438,0.03191836766374791,0.005000657867640257,0.006643842440098524,0.9874030947685242,0.02489867410622537
houses,LinearModel,18576,2064,0.04675075495224214,0.08325521405314139,0.007138434797525406,0.01824960671365261,0.9685077667236328,0.019058708800002933
houses,NeuralNetFastAI,18576,2064,0.01780385932174285,0.031838518081047894,0.0046063875779509544,0.00894774030894041,0.9878876209259033,0.030489728786051273
houses,NeuralNetTorch,18576,2064,0.018737770346849904,0.033466868514748414,0.00433954456821084,0.007907797582447529,0.9874030947685242,0.03917900985106826
houses,RandomForest,18576,2064,0.01890763670762651,0.03286181732044872,0.0036744491662830114,0.006758444011211395,0.9883720874786377,0.034418697003275156
houses,XGBoost,18576,2064,0.017820634030471016,0.03157997654633652,0.004127773456275463,0.007398935966193676,0.9893410801887512,0.02618003892712295
ilpd,CatBoost,524,59,0.36380032841257226,0.5309457371419782,0.05031599849462509,0.07477468997240067,0.694915235042572,0.0030331129673868418
ilpd,ExtraTrees,524,59,0.3469704889815679,0.49770020238043944,0.05076640099287033,0.10155168175697327,0.7118644118309021,0.0030797170475125313
ilpd,LightGBM,524,59,0.3612461303633196,0.5233199933907108,0.0669899508357048,0.18483616411685944,0.7118644118309021,0.002747652120888233
ilpd,LinearModel,524,59,0.4025998846399838,0.7700189162093088,0.08270499855279922,0.15768864750862122,0.6440678238868713,0.004313991172239184
ilpd,NeuralNetFastAI,524,59,0.3508367094016375,0.4959857333992171,0.06378846615552902,0.12014249712228775,0.6610169410705566,0.0032915310002863407
ilpd,NeuralNetTorch,524,59,0.36784760640090947,0.540300703741512,0.05632781982421875,0.09130045026540756,0.6779661178588867,0.007565449923276901
ilpd,RandomForest,524,59,0.3567621707794443,0.5150983130061351,0.04071729630231857,0.06912637501955032,0.694915235042572,0.0031894948333501816
ilpd,XGBoost,524,59,0.3647751023893027,0.5242926403217296,0.05757371336221695,0.08522680401802063,0.7118644118309021,0.0029417318291962147
jasmine,CatBoost,2685,299,0.26436301120380995,0.4025453560489858,0.029042094945907593,0.06093009561300278,0.8093645572662354,0.006548142991960049
jasmine,ExtraTrees,2685,299,0.2721207103307908,0.4083536654259255,0.024247679859399796,0.05071677640080452,0.8193979859352112,0.010258604073897004
jasmine,LightGBM,2685,299,0.2586151529025778,0.3957267633167573,0.020372845232486725,0.04836469516158104,0.8227424621582031,0.005548371933400631
jasmine,LinearModel,2685,299,0.28893027172434405,0.44279779796334595,0.023117545992136,0.032032113522291183,0.7926421165466309,0.006592592922970653
jasmine,NeuralNetFastAI,2685,299,0.2828006720349217,0.4276545757484335,0.02855318784713745,0.06019098684191704,0.8060200810432434,0.006621865089982748
jasmine,NeuralNetTorch,2685,299,0.2820490801017233,0.4260331211959032,0.030167311429977417,0.058730367571115494,0.8060200810432434,0.005540506914258003
jasmine,RandomForest,2685,299,0.2621113035494383,0.3944012309242845,0.035059764981269836,0.07539612799882889,0.8060200810432434,0.012840103823691607
jasmine,XGBoost,2685,299,0.2573198249722296,0.39407746612965483,0.021316058933734894,0.04119563102722168,0.8260869383811951,0.005585977109149098
jm1,CatBoost,9796,1089,0.2642673930335163,0.417109361095749,0.009853696450591087,0.024641375988721848,0.8172635436058044,0.012640593107789755
jm1,ExtraTrees,9796,1089,0.2616600093049329,0.4114632203806183,0.011080749332904816,0.024568885564804077,0.8209366202354431,0.03904222697019577
jm1,LightGBM,9796,1089,0.2642549008587808,0.41784470760099485,0.011833308264613152,0.02607746236026287,0.8191000819206238,0.01328852097503841
jm1,LinearModel,9796,1089,0.27969985698674077,0.4417548442737235,0.012442588806152344,0.024525783956050873,0.8163452744483948,0.012255463982000947
jm1,NeuralNetFastAI,9796,1089,0.26882708797461397,0.42970050509225083,0.015702396631240845,0.03643682226538658,0.8255280256271362,0.036323780892416835
jm1,NeuralNetTorch,9796,1089,0.27509803895165996,0.4343795443268044,0.01717895269393921,0.029012015089392662,0.8145087361335754,0.013386043021455407
jm1,RandomForest,9796,1089,0.262322056733515,0.4138387044544523,0.009534969925880432,0.015167886391282082,0.8209366202354431,0.04696869011968374
jm1,XGBoost,9796,1089,0.2640992724392007,0.41722732413532576,0.009917664341628551,0.030286556109786034,0.8172635436058044,0.012707280926406384
kc1,CatBoost,1898,211,0.1846553807779445,0.3089866144287581,0.02786668762564659,0.0587584413588047,0.8767772316932678,0.005034109111875296
kc1,ExtraTrees,1898,211,0.18653758866839834,0.31162936257066687,0.030152492225170135,0.052636947482824326,0.8767772316932678,0.009277196833863854
kc1,LightGBM,1898,211,0.19211388980270785,0.31730377618111283,0.01770114339888096,0.03032314032316208,0.8815165758132935,0.005051988875493407
kc1,LinearModel,1898,211,0.20908241380038017,0.33781692946557895,0.02776668593287468,0.060340866446495056,0.8530805706977844,0.0042092299554497
kc1,NeuralNetFastAI,1898,211,0.19206516097364518,0.3181005208255206,0.028167523443698883,0.05354533717036247,0.8720378875732422,0.004871332086622715
kc1,NeuralNetTorch,1898,211,0.2115337886129473,0.33876073162188974,0.023475661873817444,0.05030083283782005,0.8483412265777588,0.005979378009214997
kc1,RandomForest,1898,211,0.18758021583727627,0.31013527157720544,0.025618650019168854,0.048989709466695786,0.8815165758132935,0.013120598858222365
kc1,XGBoost,1898,211,0.20150303027480018,0.33282897197005346,0.02207615226507187,0.049065303057432175,0.8767772316932678,0.004915097961202264
kc2,CatBoost,469,53,0.2452053638476253,0.3674990872702631,0.07570942491292953,0.14233385026454926,0.7735849022865295,0.0035567269660532475
kc2,ExtraTrees,469,53,0.25109748645728924,0.3764661876059311,0.06679921597242355,0.1346389353275299,0.7735849022865295,0.0037532448768615723
kc2,LightGBM,469,53,0.23577665927613609,0.354957906056456,0.09074291586875916,0.16450202465057373,0.7924528121948242,0.0031320711132138968
kc2,LinearModel,469,53,0.24723207552428714,0.3738094709890154,0.07542218267917633,0.1456286460161209,0.7547169923782349,0.003922427073121071
kc2,NeuralNetFastAI,469,53,0.2526097472666713,0.37462441441784683,0.07143722474575043,0.1338908076286316,0.7735849022865295,0.005024672020226717
kc2,NeuralNetTorch,469,53,0.2537909211116296,0.3856830748277711,0.06213812530040741,0.1367788016796112,0.7735849022865295,0.0035242538433521986
kc2,RandomForest,469,53,0.25370470332607614,0.38625764708586924,0.08866125345230103,0.15100015699863434,0.8113207817077637,0.0033464848529547453
kc2,XGBoost,469,53,0.23991245830429136,0.36405992746953947,0.08147381246089935,0.16512343287467957,0.7924528121948242,0.003433997044339776
kdd_el_nino-small,CatBoost,703,79,0.0995098720749639,0.14733298640457135,0.034992847591638565,0.07347065210342407,0.9240506291389465,0.004591115051880479
kdd_el_nino-small,ExtraTrees,703,79,0.11022825910587784,0.1715795158076099,0.02804897539317608,0.06362404674291611,0.9367088675498962,0.009434844832867384
kdd_el_nino-small,LightGBM,703,79,0.11009130317557106,0.16991810600492158,0.04000402241945267,0.0711076632142067,0.9367088675498962,0.004439673153683543
kdd_el_nino-small,LinearModel,703,79,0.09939197169920516,0.15400626779231724,0.029608629643917084,0.06361953169107437,0.9113923907279968,0.006305314134806395
kdd_el_nino-small,NeuralNetFastAI,703,79,0.09901173258363291,0.18010725417561968,0.02457156777381897,0.06559744477272034,0.949367105960846,0.00638718088157475
kdd_el_nino-small,NeuralNetTorch,703,79,0.12442819037899962,0.21006845712988167,0.03525006026029587,0.08629494905471802,0.9113923907279968,0.00487438915297389
kdd_el_nino-small,RandomForest,703,79,0.10030052135938143,0.14859230107864868,0.025802012532949448,0.0600627064704895,0.9367088675498962,0.00851864879950881
kdd_el_nino-small,XGBoost,703,79,0.10960056240976361,0.17667560804547805,0.03758719936013222,0.06719211488962173,0.9367088675498962,0.004551192978397012
kdd_internet_usage,CatBoost,9097,1011,0.15028311060252747,0.2376876881538579,0.011605423875153065,0.02591969072818756,0.9000989198684692,0.013493988895788789
kdd_internet_usage,ExtraTrees,9097,1011,0.16049539595980192,0.2529585668041062,0.014371280558407307,0.028420735150575638,0.8872403502464294,0.03829883201979101
kdd_internet_usage,LightGBM,9097,1011,0.15023663035020504,0.2360086942869992,0.01255049929022789,0.022892145439982414,0.895153284072876,0.013751215068623424
kdd_internet_usage,LinearModel,9097,1011,0.1688537106883808,0.2733312152772528,0.011797524988651276,0.0219733864068985,0.8763600587844849,0.013319954043254256
kdd_internet_usage,NeuralNetFastAI,9097,1011,0.15185068830808943,0.23460673354739522,0.012509972788393497,0.028882533311843872,0.8902077078819275,0.014303096802905202
kdd_internet_usage,NeuralNetTorch,9097,1011,0.15151045867088894,0.23531235410637405,0.014265898615121841,0.028848957270383835,0.8911968469619751,0.011970331892371178
kdd_internet_usage,RandomForest,9097,1011,0.1602429830927305,0.2524309248443349,0.013673292472958565,0.028163136914372444,0.8892185688018799,0.033982527907937765
kdd_internet_usage,XGBoost,9097,1011,0.1495174884915259,0.23650097316285146,0.0116681307554245,0.0279037207365036,0.8981207013130188,0.012292281026020646
kick,CatBoost,65684,7299,0.16131245743631195,0.2844634042810209,0.00510011799633503,0.008823920972645283,0.9035484194755554,0.045511092990636826
kick,ExtraTrees,65684,7299,0.16949700833793443,0.29747054606786416,0.004621484316885471,0.014052974991500378,0.8980682492256165,0.19393399893306196
kick,LightGBM,65684,7299,0.16429881495980733,0.2901072366372541,0.004105124622583389,0.006338430568575859,0.9013563394546509,0.046123816166073084
kick,LinearModel,65684,7299,0.17107101747491638,0.30120444995418133,0.0033523282036185265,0.005093615036457777,0.8980682492256165,0.043751976918429136
kick,NeuralNetFastAI,65684,7299,0.16372502226124894,0.2886448205065845,0.0050081126391887665,0.011483317241072655,0.9024524092674255,0.05247857887297869
kick,NeuralNetTorch,65684,7299,0.1636486632734652,0.2890685098453441,0.0033847838640213013,0.007956127636134624,0.9028633832931519,0.10521194501779974
kick,RandomForest,65684,7299,0.168446877485733,0.2960279936712954,0.0071043651551008224,0.009572358801960945,0.897794246673584,0.13433994888328016
kick,XGBoost,65684,7299,0.16173486656864136,0.28537662653284535,0.004548775032162666,0.008980534970760345,0.903685450553894,0.04576311795972288
kin8nm,CatBoost,7372,820,0.14606919818656075,0.23290512616192846,0.018298983573913574,0.037828121334314346,0.8975609540939331,0.010655536083504558
kin8nm,ExtraTrees,7372,820,0.21420363366100945,0.339149145221856,0.022074401378631592,0.05329025536775589,0.8500000238418579,0.027356603182852268
kin8nm,LightGBM,7372,820,0.1523084162761107,0.24276964011468724,0.016186490654945374,0.02936258353292942,0.8902438879013062,0.027459823060780764
kin8nm,LinearModel,7372,820,0.35528774408003316,0.535701657548055,0.015028633177280426,0.029030080884695053,0.7365853786468506,0.007399250054731965
kin8nm,NeuralNetFastAI,7372,820,0.12874869442308665,0.20325853454825338,0.015580210834741592,0.030098574236035347,0.9048780202865601,0.014016235014423728
kin8nm,NeuralNetTorch,7372,820,0.12790568056371276,0.20066329080957987,0.014664612710475922,0.03135812655091286,0.9134146571159363,0.008695776108652353
kin8nm,RandomForest,7372,820,0.2129532511937231,0.3361084878341965,0.019538143649697304,0.03443709760904312,0.8463414907455444,0.023045452078804374
kin8nm,XGBoost,7372,820,0.17741976526235093,0.28548219927467994,0.024337297305464745,0.03398491442203522,0.8817073106765747,0.011422215029597282
madeline,CatBoost,2826,314,0.1926988187922618,0.32636418071096557,0.02209486998617649,0.047647178173065186,0.8662420511245728,0.0035121620167046785
madeline,ExtraTrees,2826,314,0.22114172549185546,0.37256055155423906,0.02214442938566208,0.04149851202964783,0.8407643437385559,0.003923001931980252
madeline,LightGBM,2826,314,0.21280005441264807,0.35758517888628966,0.024300310760736465,0.036524198949337006,0.8598726391792297,0.004476924194023013
madeline,LinearModel,2826,314,0.48196016032903327,0.6746433720809317,0.02359028160572052,0.030359478667378426,0.5859872698783875,0.003291425993666053
madeline,NeuralNetFastAI,2826,314,0.3907550144133292,0.5743168525965828,0.05806136876344681,0.10400877147912979,0.7165604829788208,0.006328633986413479
madeline,NeuralNetTorch,2826,314,0.36538019091918444,0.5463241204738765,0.06503337621688843,0.09579060226678848,0.7611464858055115,0.005968235898762941
madeline,RandomForest,2826,314,0.23108802067962664,0.3887774322217914,0.022202353924512863,0.04908224940299988,0.8503184914588928,0.01229505194351077
madeline,XGBoost,2826,314,0.21716193523460567,0.363407198510814,0.024711813777685165,0.0454045832157135,0.8662420511245728,0.004383652936667204
madelon,CatBoost,2340,260,0.1886002490506944,0.31753428741239986,0.026205413043498993,0.05151598900556564,0.8692307472229004,0.004136745119467378
madelon,ExtraTrees,2340,260,0.2113905819598474,0.3513644070977535,0.03097107633948326,0.06800335645675659,0.8653846383094788,0.0037466830108314753
madelon,LightGBM,2340,260,0.19277870155763493,0.3298655528751314,0.04645196720957756,0.0962589681148529,0.8807692527770996,0.00444209692068398
madelon,LinearModel,2340,260,0.48781805340333323,0.6808996446805496,0.03767528012394905,0.027961749583482742,0.5923076868057251,0.003556649899110198
madelon,NeuralNetFastAI,2340,260,0.40683716266961145,0.5958061721346178,0.0798897072672844,0.1268351823091507,0.7423076629638672,0.004880391992628574
madelon,NeuralNetTorch,2340,260,0.43470321837125825,0.6255708703385208,0.07718600332736969,0.13452370464801788,0.6884615421295166,0.009761271998286247
madelon,RandomForest,2340,260,0.2168691151757743,0.36113466956851265,0.02923499047756195,0.0767868235707283,0.8500000238418579,0.0037091250997036695
madelon,XGBoost,2340,260,0.19863278835138992,0.33420019733090184,0.02878929302096367,0.06853806972503662,0.8846153616905212,0.004214223939925432
mammography,CatBoost,10064,1119,0.02114370212885135,0.0489599984453835,0.002596931764855981,0.005002978257834911,0.9874888062477112,0.01186250802129507
mammography,ExtraTrees,10064,1119,0.026091822661463322,0.057831015072707284,0.006984774488955736,0.012361021712422371,0.9865951538085938,0.022469273069873452
mammography,LightGBM,10064,1119,0.023155853002339577,0.05018404840401579,0.004414384253323078,0.011516791768372059,0.9857015013694763,0.011456473963335156
mammography,LinearModel,10064,1119,0.030363559419109544,0.07668079859917411,0.0070083895698189735,0.008725137449800968,0.9803395867347717,0.02509069978259504
mammography,NeuralNetFastAI,10064,1119,0.024297612428922633,0.05488900623767719,0.003949680831283331,0.00873902253806591,0.9848078489303589,0.021148827858269215
mammography,NeuralNetTorch,10064,1119,0.02527686823547862,0.055753848561632145,0.0036233230493962765,0.010163857601583004,0.9857015013694763,0.016036521177738905
mammography,RandomForest,10064,1119,0.026581439378624554,0.05717026094946378,0.0069908807054162025,0.009655673988163471,0.9857015013694763,0.03173733991570771
mammography,XGBoost,10064,1119,0.022539092229410394,0.050544021445770713,0.0039900559931993484,0.006005615461617708,0.9865951538085938,0.011806512949988246
mc1,CatBoost,8519,947,0.008123074940529378,0.016113326709060176,0.0025174887850880623,0.004072856158018112,0.9947201609611511,0.010844095842912793
mc1,ExtraTrees,8519,947,0.008571840181695219,0.01891111103746307,0.0026999874971807003,0.004303806461393833,0.9947201609611511,0.02115447516553104
mc1,LightGBM,8519,947,0.006835244117385015,0.013759354133463322,0.0016343530733138323,0.0040721166878938675,0.9968320727348328,0.011436583008617163
mc1,LinearModel,8519,947,0.011586946323117749,0.029780570713747342,0.004451281391084194,0.003926869016140699,0.9926082491874695,0.015191403916105628
mc1,NeuralNetFastAI,8519,947,0.01034147352238661,0.02602146965069752,0.003075112123042345,0.002360894810408354,0.9947201609611511,0.008895128034055233
mc1,NeuralNetTorch,8519,947,0.012104686719781203,0.03015348482406106,0.0044553084298968315,0.004402574151754379,0.9926082491874695,0.010070381918922067
mc1,RandomForest,8519,947,0.01023615638375784,0.021207253320321785,0.0023532856721431017,0.0027461862191557884,0.9947201609611511,0.025918286992236972
mc1,XGBoost,8519,947,0.0076500958001334204,0.014523044452797207,0.0014276582514867187,0.003520758356899023,0.9947201609611511,0.011554177850484848
meta,CatBoost,475,53,0.09856011940434108,0.15105237990932646,0.04762130230665207,0.08518601208925247,0.9245283007621765,0.0033119108993560076
meta,ExtraTrees,475,53,0.13683955322358818,0.22493212328530182,0.06722952425479889,0.10780356079339981,0.9056603908538818,0.0036775788757950068
meta,LightGBM,475,53,0.10551500750315071,0.16093609902570374,0.04991983622312546,0.06909115612506866,0.9433962106704712,0.003433651989325881
meta,LinearModel,475,53,0.09007471089728492,0.15149184886211378,0.04634679853916168,0.08246522396802902,0.9622641801834106,0.0026804839726537466
meta,NeuralNetFastAI,475,53,0.10906625063133041,0.18121733031899964,0.06868549436330795,0.10370712727308273,0.9245283007621765,0.004415895091369748
meta,NeuralNetTorch,475,53,0.09386533426774266,0.14953582582575475,0.058730192482471466,0.08307723701000214,0.9622641801834106,0.008747121086344123
meta,RandomForest,475,53,0.11490942440330824,0.19267358005011692,0.07212445884943008,0.1301189512014389,0.8867924809455872,0.007500745123252273
meta,XGBoost,475,53,0.10019150867461865,0.15852692857699083,0.05673440545797348,0.08085869997739792,0.9433962106704712,0.003571006003767252
mozilla4,CatBoost,13990,1555,0.0680357362809187,0.12102950114585038,0.008623480796813965,0.012968380935490131,0.9569131731987,0.015074380906298757
mozilla4,ExtraTrees,13990,1555,0.06832436751691988,0.12143699630682235,0.004105370491743088,0.009562181308865547,0.9543408155441284,0.05060300091281533
mozilla4,LightGBM,13990,1555,0.0655984895225615,0.1174208560993149,0.006327854469418526,0.019078930839896202,0.9549839496612549,0.016431310214102268
mozilla4,LinearModel,13990,1555,0.11472106585588314,0.20201125632004388,0.01407809741795063,0.01972755417227745,0.933118999004364,0.016780943842604756
mozilla4,NeuralNetFastAI,13990,1555,0.11503748740069283,0.2068134103539578,0.009718394838273525,0.01684219017624855,0.9266880750656128,0.01649914914742112
mozilla4,NeuralNetTorch,13990,1555,0.09160516966016415,0.1600905048435912,0.012875191867351532,0.022679349407553673,0.9382636547088623,0.034109578002244234
mozilla4,RandomForest,13990,1555,0.0678425391854211,0.11663115761924255,0.005599126219749451,0.012192792259156704,0.9524115920066833,0.048677125945687294
mozilla4,XGBoost,13990,1555,0.06740272337847494,0.12000963866338726,0.008463531732559204,0.0163629911839962,0.9536977410316467,0.017920914106070995
no2,CatBoost,450,50,0.438717145043466,0.6263823289565567,0.07431972026824951,0.13135063648223877,0.6200000047683716,0.0023497589863836765
