dataset,model,cal_size,test_size,n_classes,Isotonic_brier,Isotonic_logloss,Isotonic_ece-15,Isotonic_accuracy,Isotonic_time
page-blocks,ExtraTrees,4925,548,5,0.04271250491116992,0.23864130688232071,0.007867397740483284,0.9726277589797974,0.016364237992092967
page-blocks,LightGBM,4925,548,5,0.04327014800516357,0.23520244892307185,0.01548596378415823,0.970802903175354,0.017384496051818132
page-blocks,LinearModel,4925,548,5,0.04525420719140855,0.09785815611433349,0.010779058560729027,0.970802903175354,0.016607849160209298
page-blocks,NeuralNetFastAI,4925,548,5,0.04953491987186006,0.2480073373120359,0.01007657777518034,0.9689781069755554,0.016636409796774387
page-blocks,NeuralNetTorch,4925,548,5,0.03770698555198792,0.2267630554456041,0.011842076666653156,0.974452555179596,0.016682615038007498
page-blocks,RandomForest,4925,548,5,0.04037165840530503,0.09077213054854982,0.011055603623390198,0.9781022071838379,0.01512080803513527
page-blocks,XGBoost,4925,548,5,0.042166408742891355,0.23469061410962472,0.00859132781624794,0.9726277589797974,0.016757111996412277
pendigits,CatBoost,9892,1100,10,0.006060569521937526,0.010224413314613502,0.0055448212660849094,0.9954545497894287,0.03278156486339867
pendigits,ExtraTrees,9892,1100,10,0.009012238007431379,0.020744672956712187,0.003982805646955967,0.9954545497894287,0.028951972955837846
pendigits,LightGBM,9892,1100,10,0.009416221305212816,0.0929156333223916,0.003904459998011589,0.9936363697052002,0.032032612012699246
pendigits,LinearModel,9892,1100,10,0.06941684167448275,0.14833126609208996,0.01923135481774807,0.9563636183738708,0.030970992986112833
pendigits,NeuralNetFastAI,9892,1100,10,0.005277847928025611,0.08684213299621622,0.0023516640067100525,0.9972727298736572,0.03250314784236252
pendigits,NeuralNetTorch,9892,1100,10,0.004245516646292007,0.008253229216996718,0.0025558366905897856,0.9972727298736572,0.03153275093063712
pendigits,RandomForest,9892,1100,10,0.015759783956834413,0.027734285141915466,0.00588037446141243,0.9890909194946289,0.02834501303732395
pendigits,XGBoost,9892,1100,10,0.012017269071701022,0.02503287929869448,0.0037815466057509184,0.9918181896209717,0.033240266144275665
robert,CatBoost,9000,1000,10,0.5959525498669392,1.3165725043932344,0.05099274218082428,0.5490000247955322,0.032651184126734734
robert,ExtraTrees,9000,1000,10,0.668472265886565,1.5318741517881878,0.06676033139228821,0.47699999809265137,0.03344002598896623
robert,LightGBM,9000,1000,10,0.572050557495596,1.2575213330551231,0.028884418308734894,0.5550000071525574,0.032443536911159754
robert,LinearModel,9000,1000,10,0.7809050599102547,1.8531049982625318,0.07904580235481262,0.35600000619888306,0.032130114967003465
robert,NeuralNetFastAI,9000,1000,10,0.6569236997578818,1.474870306881241,0.032864004373550415,0.47600001096725464,0.032844000961631536
robert,NeuralNetTorch,9000,1000,10,0.6516126706439557,1.4715201234341027,0.04749683290719986,0.4869999885559082,0.03268457320518792
robert,RandomForest,9000,1000,10,0.6736229056120787,1.5491754305270753,0.056010086089372635,0.4790000021457672,0.033132512122392654
robert,XGBoost,9000,1000,10,0.608237584357209,1.3495790340942795,0.061058856546878815,0.5249999761581421,0.032659164164215326
satimage,CatBoost,5787,643,6,0.12005547506977886,0.2143218800465316,0.024393001571297646,0.9097978472709656,0.018985697999596596
satimage,ExtraTrees,5787,643,6,0.12184694397635064,0.22068230437059325,0.020383914932608604,0.9160186648368835,0.017974002985283732
satimage,LightGBM,5787,643,6,0.12005795514758122,0.3357303161496771,0.019923556596040726,0.9129082560539246,0.01862930995412171
satimage,LinearModel,5787,643,6,0.1884621595312712,0.3310387918960432,0.0338951013982296,0.8506998419761658,0.020886130863800645
satimage,NeuralNetFastAI,5787,643,6,0.11338536950038366,0.18967212422320154,0.021758202463388443,0.9129082560539246,0.019590592943131924
satimage,NeuralNetTorch,5787,643,6,0.11349519844199558,0.19033464672983133,0.0314316526055336,0.917573869228363,0.018369220895692706
satimage,RandomForest,5787,643,6,0.12199878490802989,0.21722663053880373,0.015172415412962437,0.9191290736198425,0.01778276893310249
satimage,XGBoost,5787,643,6,0.1156549982418918,0.3439073577485608,0.015017515979707241,0.9269051551818848,0.01887748995795846
segment,CatBoost,2079,231,7,0.026315462858427154,0.41308508734336513,0.02313387580215931,0.9870129823684692,0.013822691980749369
segment,ExtraTrees,2079,231,7,0.02966710128288454,0.42287982271035457,0.018658172339200974,0.9870129823684692,0.013248224975541234
segment,LightGBM,2079,231,7,0.040950623711935676,0.43795851362005517,0.023394938558340073,0.9783549904823303,0.013800873188301921
segment,LinearModel,2079,231,7,0.04197169892821411,0.08888073019716529,0.022942816838622093,0.9783549904823303,0.013561827829107642
segment,NeuralNetFastAI,2079,231,7,0.03704217387570513,0.06736408949921152,0.020580042153596878,0.9740259647369385,0.013843473047018051
segment,NeuralNetTorch,2079,231,7,0.031545805452648276,0.06982744006508139,0.02493441291153431,0.9826839566230774,0.01399750099517405
segment,RandomForest,2079,231,7,0.03390347761166905,0.43359596626224384,0.007349751424044371,0.9783549904823303,0.013347889063879848
segment,XGBoost,2079,231,7,0.041474166327970435,0.08854405992447824,0.026323463767766953,0.9740259647369385,0.013907725922763348
semeion,CatBoost,1433,160,10,0.10541473599233593,1.2449175122865805,0.05728880688548088,0.9312499761581421,0.015558280050754547
semeion,ExtraTrees,1433,160,10,0.1645932449394844,1.941483322670622,0.04546443372964859,0.8812500238418579,0.01567484508268535
semeion,LightGBM,1433,160,10,0.13414313233675285,0.31843173268698655,0.046710364520549774,0.9125000238418579,0.015759017085656524
semeion,LinearModel,1433,160,10,0.14056306593789927,0.27306237496648683,0.057452939450740814,0.893750011920929,0.01562952483072877
semeion,NeuralNetFastAI,1433,160,10,0.10416925663647887,1.2699988266396416,0.042827945202589035,0.9312499761581421,0.01564079406671226
semeion,NeuralNetTorch,1433,160,10,0.10234364205171173,0.7187769816376597,0.03602057695388794,0.925000011920929,0.015939935809001327
semeion,RandomForest,1433,160,10,0.16677545724026394,1.4184528604160784,0.05928872153162956,0.887499988079071,0.016344902105629444
semeion,XGBoost,1433,160,10,0.13550291296586836,0.29412426237994566,0.06219678372144699,0.90625,0.01669373386539519
soybean,CatBoost,614,69,19,0.10155024346550988,0.14400690243864067,0.06458691507577896,0.9420289993286133,0.021652441006153822
soybean,ExtraTrees,614,69,19,0.08122001056938197,0.11631073802722323,0.02871190756559372,0.9420289993286133,0.020358073990792036
soybean,LightGBM,614,69,19,0.06242799830471561,0.10359693608824067,0.02881276048719883,0.95652174949646,0.02045442210510373
soybean,LinearModel,614,69,19,0.12182576554947491,1.4192103195790589,0.036076389253139496,0.9275362491607666,0.02075384184718132
soybean,NeuralNetFastAI,614,69,19,0.10414810253904662,1.3857187170113865,0.055685337632894516,0.9420289993286133,0.020937296794727445
soybean,NeuralNetTorch,614,69,19,0.12183496246078929,1.4096567976937702,0.07441773265600204,0.9275362491607666,0.020587929990142584
soybean,RandomForest,614,69,19,0.10662525651345675,1.3845455656102499,0.04864449426531792,0.9420289993286133,0.020213272888213396
soybean,XGBoost,614,69,19,0.09876275374328623,1.3822528928436362,0.0595993772149086,0.95652174949646,0.020812771981582046
splice,CatBoost,2871,319,3,0.05733126475917309,0.10906398405817987,0.012251283973455429,0.962382435798645,0.011293885996565223
splice,ExtraTrees,2871,319,3,0.08932193501808468,0.16684025829822208,0.031215829774737358,0.9341692924499512,0.010991262970492244
splice,LightGBM,2871,319,3,0.06277801015985195,0.12210754637626209,0.020894363522529602,0.962382435798645,0.011014224030077457
splice,LinearModel,2871,319,3,0.09584907804326297,0.18990398783420193,0.03293931856751442,0.9373040795326233,0.011122350115329027
splice,NeuralNetFastAI,2871,319,3,0.05436569747386653,0.1025014315894265,0.014177434146404266,0.9592476487159729,0.011104362085461617
splice,NeuralNetTorch,2871,319,3,0.06612638199077399,0.12923434066138695,0.008239779621362686,0.9592476487159729,0.011082326993346214
splice,RandomForest,2871,319,3,0.08420068023196166,0.1521723381288539,0.029729384928941727,0.9373040795326233,0.011132868006825447
splice,XGBoost,2871,319,3,0.054373537546467364,0.10092211648096819,0.02617398276925087,0.9655172228813171,0.011250293115153909
steel-plates-fault,CatBoost,1746,195,7,0.2405146913661028,0.4776578444578025,0.03449432551860809,0.8153846263885498,0.01364859496243298
steel-plates-fault,ExtraTrees,1746,195,7,0.25880130481665026,0.8925066394026643,0.03865041956305504,0.8102564215660095,0.013510095188394189
steel-plates-fault,LightGBM,1746,195,7,0.24880284888377296,0.907275016078561,0.027383415028452873,0.8153846263885498,0.013468226883560419
steel-plates-fault,LinearModel,1746,195,7,0.34526234558852403,1.0765964151151606,0.07236232608556747,0.7538461685180664,0.013645331840962172
