dataset,model,cal_size,test_size,n_classes,Venn-Abers_brier,Venn-Abers_logloss,Venn-Abers_ece-15,Venn-Abers_accuracy,Venn-Abers_time
Traffic_violations,XGBoost,63306,7034,3,0.2731976899706751,0.4094484831253344,0.008565295487642288,0.7925788760185242,12.725714419037104
UMIST_Faces_Cropped,CatBoost,517,58,20,0.08367700314900406,0.2759794280335241,0.16352368891239166,0.9655172228813171,0.3328347490169108
UMIST_Faces_Cropped,ExtraTrees,517,58,20,0.08513684066839407,0.2615302023423941,0.18645663559436798,0.982758641242981,0.1266250340268016
UMIST_Faces_Cropped,LightGBM,517,58,20,0.08547598443536035,0.31433572137111515,0.17220115661621094,0.9655172228813171,0.3289488621521741
UMIST_Faces_Cropped,LinearModel,517,58,20,0.09883993372653455,0.31302597007067334,0.17748034000396729,0.9655172228813171,0.09059769986197352
UMIST_Faces_Cropped,NeuralNetFastAI,517,58,20,0.16667702916131724,0.45270451240393145,0.21177107095718384,0.931034505367279,0.028858693782240152
UMIST_Faces_Cropped,NeuralNetTorch,517,58,20,0.12914864470103035,0.3165684103393951,0.10647563636302948,0.8965517282485962,0.006321202032268047
UMIST_Faces_Cropped,RandomForest,517,58,20,0.07906484975708677,0.25341373035130005,0.1803753674030304,0.982758641242981,0.1428396450355649
UMIST_Faces_Cropped,XGBoost,517,58,20,0.0972446220414951,0.333773952687903,0.1364869922399521,0.9482758641242981,0.32661182805895805
analcatdata_authorship,CatBoost,756,85,4,0.04062170624316938,0.09060730237489412,0.04903893172740936,0.9647058844566345,0.08588287094607949
analcatdata_authorship,ExtraTrees,756,85,4,0.03553499670870738,0.08382356264772216,0.05413297563791275,0.9764705896377563,0.050069767981767654
analcatdata_authorship,LightGBM,756,85,4,0.030498304461774865,0.07468455012559246,0.029084857553243637,0.9882352948188782,0.03870362089946866
analcatdata_authorship,LinearModel,756,85,4,0.03200516618543175,0.07398802953245284,0.03728323057293892,0.9882352948188782,0.024359297938644886
analcatdata_authorship,NeuralNetFastAI,756,85,4,0.06679067261896302,0.1038443134087359,0.013027536682784557,0.929411768913269,0.001649593934416771
analcatdata_authorship,NeuralNetTorch,756,85,4,0.07048162398071554,0.12506972527652221,0.05506865307688713,0.9058823585510254,0.002312796888872981
analcatdata_authorship,RandomForest,756,85,4,0.0495280118218437,0.11386912925300399,0.05634826421737671,0.9647058844566345,0.031069432152435184
analcatdata_authorship,XGBoost,756,85,4,0.027968602260931185,0.06716000112410431,0.052433133125305176,0.9882352948188782,0.09005983988754451
analcatdata_dmft,CatBoost,717,80,6,0.809489982637327,1.7157076431215519,0.06638463586568832,0.26249998807907104,0.025881976122036576
analcatdata_dmft,ExtraTrees,717,80,6,0.8170175175146852,1.7406118313074799,0.046604741364717484,0.23749999701976776,0.027494216803461313
analcatdata_dmft,LightGBM,717,80,6,0.812325275666131,1.7314902441233637,0.03623811528086662,0.23749999701976776,0.025163597892969847
analcatdata_dmft,LinearModel,717,80,6,0.8171341767016077,1.7412001883002959,0.060993753373622894,0.1875,0.02479077596217394
analcatdata_dmft,NeuralNetFastAI,717,80,6,0.820067057281307,1.7489239745317993,0.054799050092697144,0.21250000596046448,0.02669346798211336
analcatdata_dmft,NeuralNetTorch,717,80,6,0.8075914236413553,1.7105296171811954,0.04642610251903534,0.20000000298023224,0.02648576395586133
analcatdata_dmft,RandomForest,717,80,6,0.8181217074092215,1.740476688584699,0.04330404847860336,0.21250000596046448,0.02791209309361875
analcatdata_dmft,XGBoost,717,80,6,0.8038908281068086,1.7041489726989134,0.06195942312479019,0.22499999403953552,0.025092714931815863
artificial-characters,CatBoost,9196,1022,10,0.0801687818844666,0.18341199671940006,0.061627354472875595,0.9589040875434875,3.112885755021125
artificial-characters,ExtraTrees,9196,1022,10,0.07877900546896077,0.18722636778753862,0.01461106352508068,0.9559686779975891,0.2692490250337869
artificial-characters,LightGBM,9196,1022,10,0.06871489422806566,0.1608921526786889,0.06113426387310028,0.9608610272407532,2.361240688012913
artificial-characters,LinearModel,9196,1022,10,0.7316713860781642,1.6235405112270833,0.04871371388435364,0.373776912689209,1.1828001448884606
artificial-characters,NeuralNetFastAI,9196,1022,10,0.36198686571448696,0.6067813299803424,0.0366806834936142,0.7074363827705383,2.675647577038035
artificial-characters,NeuralNetTorch,9196,1022,10,0.3494018956359642,0.5935148408375895,0.03729666396975517,0.7172211408615112,2.066911203088239
artificial-characters,RandomForest,9196,1022,10,0.07678784395285707,0.18320500793849967,0.021283894777297974,0.9549902081489563,0.23660426400601864
artificial-characters,XGBoost,9196,1022,10,0.07624743286804354,0.17611784626602361,0.05740587040781975,0.9618395566940308,2.81329443003051
autoUniv-au6-750,CatBoost,675,75,8,0.8456134202792513,1.9787793935978277,0.12053447961807251,0.2266666740179062,0.03941074199974537
autoUniv-au6-750,ExtraTrees,675,75,8,0.8376668553043813,1.96745380964811,0.10574605315923691,0.25333333015441895,0.03729470004327595
autoUniv-au6-750,LightGBM,675,75,8,0.8053873311847785,1.8756120245003267,0.1157451793551445,0.3733333349227905,0.04053278197534382
autoUniv-au6-750,LinearModel,675,75,8,0.8502535814674057,1.9941811518386297,0.034545451402664185,0.2266666740179062,0.03371433704160154
autoUniv-au6-750,NeuralNetFastAI,675,75,8,0.8520262381247444,1.992807247622611,0.020044228062033653,0.2266666740179062,0.037514820927754045
autoUniv-au6-750,NeuralNetTorch,675,75,8,0.8559013470091944,2.003178735452798,0.08617972582578659,0.1733333319425583,0.03869875194504857
autoUniv-au6-750,RandomForest,675,75,8,0.7849447160403162,1.8268486735478298,0.06372670084238052,0.3333333432674408,0.04303559404797852
autoUniv-au6-750,XGBoost,675,75,8,0.8166360219568857,1.926555177027771,0.13471724092960358,0.3733333349227905,0.04281089408323169
autoUniv-au7-1100,CatBoost,990,110,5,0.7213881497328696,1.387239504160162,0.10545268654823303,0.41818180680274963,0.04917357605881989
autoUniv-au7-1100,ExtraTrees,990,110,5,0.7448978301662168,1.4411228532454146,0.12837907671928406,0.4272727370262146,0.049031557980924845
autoUniv-au7-1100,LightGBM,990,110,5,0.7110025431920282,1.3799978075569879,0.08981882035732269,0.4363636374473572,0.04634532891213894
autoUniv-au7-1100,LinearModel,990,110,5,0.7743544061222294,1.5400696775151541,0.12255433201789856,0.3545454442501068,0.045364538906142116
autoUniv-au7-1100,NeuralNetFastAI,990,110,5,0.7392142684905596,1.43793243432339,0.09655991196632385,0.3909091055393219,0.04697761102579534
autoUniv-au7-1100,NeuralNetTorch,990,110,5,0.7288930888134437,1.425007174194024,0.02762122079730034,0.3636363744735718,0.04924958501942456
autoUniv-au7-1100,RandomForest,990,110,5,0.7149709836502808,1.3953263385619132,0.07281515747308731,0.3909091055393219,0.04812705400399864
autoUniv-au7-1100,XGBoost,990,110,5,0.7021704100380028,1.3531262064613025,0.09182249009609222,0.40909090638160706,0.04761185799725354
autoUniv-au7-700,CatBoost,630,70,3,0.560229535171025,0.9441354977148114,0.15435311198234558,0.5,0.01694754301570356
