dataset,model,cal_size,test_size,n_classes,CatBoost_brier,CatBoost_logloss,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
analcatdata_dmft,ExtraTrees,717,80,6,0.8341102129253464,1.7825493535200803,0.10791660845279694,0.26249998807907104,1.8300472551491112
analcatdata_dmft,LightGBM,717,80,6,0.8200138064602346,1.7498578578747654,0.06994447857141495,0.21250000596046448,0.4533799251075834
analcatdata_dmft,LinearModel,717,80,6,0.8246649870768735,1.7643037995281081,0.034974489361047745,0.17499999701976776,0.4453302249312401
analcatdata_dmft,NeuralNetFastAI,717,80,6,0.8207765211014545,1.752432098413897,0.03721107542514801,0.25,0.5397589800413698
analcatdata_dmft,NeuralNetTorch,717,80,6,0.8174171838294214,1.7450685893846143,0.0383460633456707,0.21250000596046448,0.4416022291406989
analcatdata_dmft,RandomForest,717,80,6,0.8294318907471409,1.77173213294722,0.06278311461210251,0.23749999701976776,1.3548867320641875
analcatdata_dmft,XGBoost,717,80,6,0.8194384838184113,1.7503278481817446,0.02029551938176155,0.22499999403953552,0.5240913608577102
artificial-characters,CatBoost,9196,1022,10,0.08184806403185445,0.1808051597096551,0.038758717477321625,0.9559686779975891,27.998836108949035
artificial-characters,ExtraTrees,9196,1022,10,0.07915195975180758,0.19020718264932848,0.015309492126107216,0.9530332684516907,13.015940519981086
artificial-characters,LightGBM,9196,1022,10,0.06936538029967405,0.14617173615086193,0.02517545223236084,0.9589040875434875,32.47881642007269
artificial-characters,LinearModel,9196,1022,10,0.4352294675557655,0.8105800364906285,0.08745777606964111,0.6722113490104675,35.07855226402171
artificial-characters,NeuralNetFastAI,9196,1022,10,0.36218287762833806,0.6045289359993459,0.04641764611005783,0.7240704298019409,15.085254715988412
artificial-characters,NeuralNetTorch,9196,1022,10,0.34443982273095364,0.5817052774533638,0.028949234634637833,0.7162426710128784,15.707767442101613
artificial-characters,RandomForest,9196,1022,10,0.07678998702046157,0.18256186833508292,0.011198755353689194,0.9549902081489563,11.740315357921645
artificial-characters,XGBoost,9196,1022,10,0.08134043818812887,0.17286027807120322,0.028517741709947586,0.9540117383003235,33.4649183799047
autoUniv-au6-750,CatBoost,675,75,8,0.8444590376328672,1.977970713637654,0.10743942856788635,0.23999999463558197,0.8204343349207193
autoUniv-au6-750,ExtraTrees,675,75,8,0.841767991868429,1.9784338133326733,0.12159980088472366,0.25333333015441895,0.7981937241274863
autoUniv-au6-750,LightGBM,675,75,8,0.8100754231791258,1.8917511773437552,0.1421770304441452,0.36000001430511475,0.7567022079601884
autoUniv-au6-750,LinearModel,675,75,8,0.8518915061422955,1.9930355093109346,0.06213270500302315,0.1599999964237213,0.6860316339880228
autoUniv-au6-750,NeuralNetFastAI,675,75,8,0.855944399065441,2.007415013617252,0.06605435162782669,0.25333333015441895,0.6162957500200719
autoUniv-au6-750,NeuralNetTorch,675,75,8,0.854607165971215,2.0007184229918646,0.01364302821457386,0.18666666746139526,0.6229480400215834
autoUniv-au6-750,RandomForest,675,75,8,0.7784897631967361,1.8088962234768031,0.11853869259357452,0.36000001430511475,0.8590474489610642
autoUniv-au6-750,XGBoost,675,75,8,0.8165044882526848,1.9179538129463845,0.14756888151168823,0.3733333349227905,0.7355952481739223
autoUniv-au7-1100,CatBoost,990,110,5,0.7234666311397897,1.4053735905235967,0.0890229344367981,0.40909090638160706,0.6789958679582924
autoUniv-au7-1100,ExtraTrees,990,110,5,0.7330028196659466,1.4306759338477775,0.1193716824054718,0.4272727370262146,0.7101306580007076
autoUniv-au7-1100,LightGBM,990,110,5,0.7219301963034388,1.3939473421901596,0.053673144429922104,0.41818180680274963,0.6956706349737942
autoUniv-au7-1100,LinearModel,990,110,5,0.7586567096650952,1.5029205819362956,0.0852980837225914,0.3636363744735718,0.7343173900153488
autoUniv-au7-1100,NeuralNetFastAI,990,110,5,0.7353601826047452,1.4380829625199092,0.035431958734989166,0.38181817531585693,0.6234245309606194
autoUniv-au7-1100,NeuralNetTorch,990,110,5,0.7213112952566019,1.4091535829922863,0.08818898350000381,0.41818180680274963,0.735309547977522
autoUniv-au7-1100,RandomForest,990,110,5,0.6959248188865025,1.3684825736559647,0.09830745309591293,0.4636363685131073,0.693381035933271
autoUniv-au7-1100,XGBoost,990,110,5,0.7034227807124944,1.3494936048835462,0.12523704767227173,0.41818180680274963,0.7353717188816518
autoUniv-au7-700,CatBoost,630,70,3,0.5351494128213212,0.9002699740187424,0.12513646483421326,0.6142857074737549,0.36490812106058
autoUniv-au7-700,ExtraTrees,630,70,3,0.5349999871426189,0.9031021867031324,0.1692565679550171,0.5571428537368774,0.3433714078273624
autoUniv-au7-700,LightGBM,630,70,3,0.5255649745674007,0.8830330364274196,0.062187351286411285,0.5285714268684387,0.3072869018651545
autoUniv-au7-700,LinearModel,630,70,3,0.6711046021753968,1.1057081601648593,0.12188512086868286,0.41428571939468384,0.29953032499179244
autoUniv-au7-700,NeuralNetFastAI,630,70,3,0.609407737002614,1.0168498038992217,0.09126505255699158,0.5142857432365417,0.34790684189647436
autoUniv-au7-700,NeuralNetTorch,630,70,3,0.6436576892635354,1.0613685456389832,0.10890522599220276,0.4000000059604645,0.3442734470590949
autoUniv-au7-700,RandomForest,630,70,3,0.5335633254225748,0.89094271700887,0.10991168767213821,0.5285714268684387,0.3693153480999172
autoUniv-au7-700,XGBoost,630,70,3,0.5301930254862143,0.8908875483006969,0.17314335703849792,0.5,0.3209561938419938
balance-scale,CatBoost,562,63,3,0.002293700807152105,0.01363935024672335,0.012817973271012306,1.0,0.5719341090880334
balance-scale,ExtraTrees,562,63,3,0.037657557142548814,0.07772698841185409,0.05782989785075188,0.9682539701461792,0.4472083530854434
balance-scale,LightGBM,562,63,3,0.03431577528515754,0.07575048180477757,0.025921333581209183,0.9841269850730896,0.4683184770401567
balance-scale,LinearModel,562,63,3,0.07437474137851417,0.15194285820322817,0.06147540733218193,0.9523809552192688,0.5263985330238938
balance-scale,NeuralNetFastAI,562,63,3,0.00785080788731436,0.023670450413491258,0.020471924915909767,1.0,0.4561907439492643
balance-scale,NeuralNetTorch,562,63,3,0.010433834816914048,0.01747762336039989,0.012087254785001278,0.9841269850730896,0.800763979088515
balance-scale,RandomForest,562,63,3,0.03697716980025428,0.08965131478615006,0.06693950295448303,0.9682539701461792,0.43279314297251403
balance-scale,XGBoost,562,63,3,0.006318504035446673,0.016977505182750704,0.014352522790431976,1.0,0.9410172828938812
baseball,CatBoost,1206,134,3,0.074521643468441,0.14180459225329423,0.03379105031490326,0.9552238583564758,0.7367727879900485
baseball,ExtraTrees,1206,134,3,0.08086425479276194,0.1525765827611311,0.035064343363046646,0.9402984976768494,0.8000184760894626
baseball,LightGBM,1206,134,3,0.07032153618248499,0.1327266188105471,0.022076474502682686,0.9477611780166626,0.5600281748920679
baseball,LinearModel,1206,134,3,0.0639099274073742,0.12645636377246966,0.05058998614549637,0.9626865386962891,0.4733795721549541
baseball,NeuralNetFastAI,1206,134,3,0.06778098472089303,0.12135533686839013,0.030994391068816185,0.9552238583564758,0.49991814116947353
baseball,NeuralNetTorch,1206,134,3,0.08551164469760991,0.1542425169909283,0.03805812448263168,0.9402984976768494,0.7362524541094899
baseball,RandomForest,1206,134,3,0.0811260533761819,0.1591806045121625,0.03191554546356201,0.9402984976768494,0.5104137018788606
