dataset,model,cal_size,test_size,n_classes,ETS_brier,ETS_logloss,ETS_ece-15,ETS_accuracy,ETS_time
connect-4,LinearModel,60801,6756,3,0.33491036401777263,0.5965452374081941,0.012515213340520859,0.7588809728622437,0.12631221092306077
connect-4,NeuralNetFastAI,60801,6756,3,0.1673140237678391,0.30078535502087383,0.019171392545104027,0.884251058101654,0.1675546879414469
connect-4,NeuralNetTorch,60801,6756,3,0.1754164163038592,0.31442798067303646,0.025371801108121872,0.8784784078598022,0.15121748205274343
connect-4,RandomForest,60801,6756,3,0.26562020574507894,0.48610497297220623,0.01840137504041195,0.8126109838485718,0.16958498489111662
connect-4,XGBoost,60801,6756,3,0.1793774452819648,0.32318414613334145,0.014332783408463001,0.8725576996803284,0.14603756391443312
dilbert,CatBoost,9000,1000,5,0.024462376190412614,0.04672024151215362,0.01146806962788105,0.9800000190734863,0.026569692883640528
dilbert,ExtraTrees,9000,1000,5,0.03811406280344588,0.07690176325123359,0.006891146767884493,0.9739999771118164,0.04370482312515378
dilbert,LightGBM,9000,1000,5,0.013254529649725793,0.026588495494960052,0.004338017199188471,0.9909999966621399,0.02576459595002234
dilbert,LinearModel,9000,1000,5,0.0904112074217513,0.16633972914300643,0.021003661677241325,0.9380000233650208,0.059906502021476626
dilbert,NeuralNetFastAI,9000,1000,5,0.020416327303128434,0.041285489767261624,0.012781310826539993,0.9879999756813049,0.025976293021813035
dilbert,NeuralNetTorch,9000,1000,5,0.01359552305560164,0.029625137702351475,0.01256210170686245,0.9929999709129333,0.029066989896818995
dilbert,RandomForest,9000,1000,5,0.06705530137949596,0.12897386169321645,0.012620043009519577,0.9520000219345093,0.04783873911947012
dilbert,XGBoost,9000,1000,5,0.02296284505856132,0.04544760036805163,0.009148938581347466,0.9850000143051147,0.037647493882104754
dna,CatBoost,2867,319,3,0.0594370977698613,0.11191574576808398,0.027735620737075806,0.962382435798645,0.009374973131343722
dna,ExtraTrees,2867,319,3,0.08055299576843626,0.15219226862677407,0.0363355427980423,0.9498432874679565,0.010472464142367244
dna,LightGBM,2867,319,3,0.06097681259531164,0.11173585098564082,0.023947354406118393,0.962382435798645,0.010740149999037385
dna,LinearModel,2867,319,3,0.12049913200276054,0.22576820090080432,0.0225866436958313,0.9278996586799622,0.02703668689355254
dna,NeuralNetFastAI,2867,319,3,0.07856418843657371,0.14582402204831926,0.0271593164652586,0.9467084407806396,0.020398372085765004
dna,NeuralNetTorch,2867,319,3,0.07962463522671971,0.14988262297035654,0.020733289420604706,0.9467084407806396,0.010697775986045599
dna,RandomForest,2867,319,3,0.08825076848475129,0.16059911734681873,0.019548451527953148,0.9404388666152954,0.013746015960350633
dna,XGBoost,2867,319,3,0.058759228295835714,0.11194998090160083,0.020139411091804504,0.9655172228813171,0.01260389108210802
eucalyptus,CatBoost,662,74,5,0.40580446293277156,0.6963547035288256,0.10669899731874466,0.6891891956329346,0.005245531909167767
eucalyptus,ExtraTrees,662,74,5,0.37382804647112833,0.6488061055770862,0.11676615476608276,0.662162184715271,0.005652750143781304
eucalyptus,LightGBM,662,74,5,0.36551557604012735,0.6503875875699092,0.15515638887882233,0.662162184715271,0.0057170880027115345
eucalyptus,LinearModel,662,74,5,0.4393075056763694,0.7475189659844458,0.1099558174610138,0.6351351141929626,0.010749646928161383
eucalyptus,NeuralNetFastAI,662,74,5,0.4034553083412545,0.6575472410562473,0.1011306643486023,0.7027027010917664,0.005718324100598693
eucalyptus,NeuralNetTorch,662,74,5,0.42406962778408663,0.6680566364808233,0.08520481735467911,0.6486486196517944,0.005672338884323835
eucalyptus,RandomForest,662,74,5,0.39647492493777703,0.6866631224350307,0.08753971010446548,0.6756756901741028,0.005214130040258169
eucalyptus,XGBoost,662,74,5,0.4080296417561165,0.7349043614068936,0.11227011680603027,0.6756756901741028,0.005667398916557431
eye_movements,CatBoost,9842,1094,3,0.35251840107668264,0.5956459708400934,0.0340711772441864,0.7394881248474121,0.026109996950253844
eye_movements,ExtraTrees,9842,1094,3,0.3185039863631313,0.5469665671372052,0.043879128992557526,0.7687385678291321,0.046788075007498264
eye_movements,LightGBM,9842,1094,3,0.28216036927512705,0.493502665197756,0.02780723385512829,0.8034734725952148,0.02656759088858962
eye_movements,LinearModel,9842,1094,3,0.564031909543714,0.9183558120402899,0.028460433706641197,0.5054844617843628,0.031235306058079004
eye_movements,NeuralNetFastAI,9842,1094,3,0.4336202593439838,0.7204026813818403,0.045195575803518295,0.664533793926239,0.02839461201801896
eye_movements,NeuralNetTorch,9842,1094,3,0.41664192190227606,0.6939404233510352,0.06200677528977394,0.690127968788147,0.05258300481364131
eye_movements,RandomForest,9842,1094,3,0.38036301447470516,0.6432266623704256,0.024202359840273857,0.7148080468177795,0.04545329697430134
eye_movements,XGBoost,9842,1094,3,0.31972570202281403,0.5488071235666853,0.03892524167895317,0.7714807987213135,0.022872459841892123
fabert,CatBoost,7413,824,7,0.35510982065881425,0.7397212046013312,0.05894143879413605,0.737864077091217,0.023354907054454088
fabert,ExtraTrees,7413,824,7,0.3713468725212849,0.7400752144210492,0.03342312201857567,0.7123786211013794,0.029071751981973648
fabert,LightGBM,7413,824,7,0.3593911526979494,0.7259320249333934,0.05607582628726959,0.7135922312736511,0.022823347942903638
fabert,LinearModel,7413,824,7,0.49201992039132086,1.022521836328124,0.09382868558168411,0.6359223127365112,0.04439926706254482
fabert,NeuralNetFastAI,7413,824,7,0.38499813316641024,0.7820504115659525,0.040639109909534454,0.7099514603614807,0.027760233031585813
fabert,NeuralNetTorch,7413,824,7,0.4167389021104454,0.8477355728578994,0.08152943849563599,0.7026699185371399,0.05627258098684251
