dataset,model,cal_size,test_size,n_classes,Hist-quantile_brier,Hist-quantile_logloss,Hist-quantile_ece-15,Hist-quantile_accuracy,Hist-quantile_time
car,XGBoost,1555,173,4,0.055534929504694075,0.09118983284251023,0.04962071776390076,0.9537572264671326,0.0032783790957182646
cardiotocography,CatBoost,1913,213,10,0.09417956272488785,0.19849788747300393,0.03733142092823982,0.9154929518699646,0.008615494007244706
cardiotocography,ExtraTrees,1913,213,10,0.8391942925083188,2.0172530315151733,4.622340202331543e-05,0.27230048179626465,0.0071287439204752445
cardiotocography,LightGBM,1913,213,10,0.06950851142548005,0.14916880369417487,0.03544085472822189,0.9436619877815247,0.0076970490626990795
cardiotocography,LinearModel,1913,213,10,0.0930022363141312,0.16571828416370124,0.04949657618999481,0.9483568072319031,0.00804311502724886
cardiotocography,NeuralNetFastAI,1913,213,10,0.8391942925083188,2.0172530315151733,4.622340202331543e-05,0.27230048179626465,0.007036505034193397
cardiotocography,NeuralNetTorch,1913,213,10,0.8391942925083188,2.0172530315151733,4.622340202331543e-05,0.27230048179626465,0.007105651078745723
cardiotocography,RandomForest,1913,213,10,0.7681632512206493,1.7782257231926222,0.04595518112182617,0.3661971688270569,0.006960996892303228
cardiotocography,XGBoost,1913,213,10,0.08317378995049386,0.17509046746498433,0.022162102162837982,0.9061033129692078,0.007824369007721543
cmc,CatBoost,1325,148,3,0.5040867306249699,0.8496751008762986,0.058738771826028824,0.6013513803482056,0.0025502280332148075
cmc,ExtraTrees,1325,148,3,0.5086205730115965,0.8616660496151476,0.06497553735971451,0.5945945978164673,0.0025850289966911077
cmc,LightGBM,1325,148,3,0.5172384163380199,0.8666799086152068,0.09994778037071228,0.5337837934494019,0.002584455069154501
cmc,LinearModel,1325,148,3,0.5253611681057564,0.8723692426657615,0.06622368097305298,0.587837815284729,0.002638554899021983
cmc,NeuralNetFastAI,1325,148,3,0.49970657332915347,0.8441633261096889,0.12414804846048355,0.6013513803482056,0.002636321121826768
cmc,NeuralNetTorch,1325,148,3,0.4947223352201794,0.8336772338901657,0.07069763541221619,0.6283783912658691,0.0025698670651763678
cmc,RandomForest,1325,148,3,0.5050847799147652,0.8522882556597958,0.0648004561662674,0.6081081032752991,0.0026424431707710028
cmc,XGBoost,1325,148,3,0.5073833622557619,0.8608944549693323,0.10108189284801483,0.5608108043670654,0.0027326811105012894
cnae-9,CatBoost,972,108,9,0.11063131537321233,0.2438266570776143,0.04889693856239319,0.9074074029922485,0.00624116905964911
cnae-9,ExtraTrees,972,108,9,0.08365173483442025,0.19421575478233707,0.08920308947563171,0.9351851940155029,0.006183001911267638
cnae-9,LightGBM,972,108,9,0.09788260608455858,0.21089193137722642,0.05736534669995308,0.9259259104728699,0.006507626036182046
cnae-9,LinearModel,972,108,9,0.12036572511690237,0.26282156020112396,0.04637080058455467,0.8796296119689941,0.006390225142240524
cnae-9,NeuralNetFastAI,972,108,9,0.12026824694112809,0.27461334184674546,0.05305889621376991,0.9074074029922485,0.006435801973566413
cnae-9,NeuralNetTorch,972,108,9,0.11622240707640287,0.2556327189767591,0.06571930646896362,0.9074074029922485,0.006486831000074744
cnae-9,RandomForest,972,108,9,0.10617095362514897,0.8472018958749318,0.070536307990551,0.9166666865348816,0.006276290165260434
cnae-9,XGBoost,972,108,9,0.09333608149531479,0.21818678968046054,0.031154613941907883,0.9166666865348816,0.006470313994213939
collins,CatBoost,900,100,30,0.8315419940172594,2.803013265357139,0.05718499422073364,0.25999999046325684,0.01985705690458417
collins,ExtraTrees,900,100,30,0.8645604356819081,2.2384145111282354,0.06511690467596054,0.2199999988079071,0.01981189684011042
collins,LightGBM,900,100,30,0.8375996468165716,2.813499856027488,0.09463943541049957,0.25,0.01976791606284678
collins,LinearModel,900,100,30,0.827773362799852,2.8311345288837226,0.13387832045555115,0.25999999046325684,0.01989745395258069
collins,NeuralNetFastAI,900,100,30,0.8362428419449317,2.164776470493251,0.10314461588859558,0.23999999463558197,0.019696420058608055
collins,NeuralNetTorch,900,100,30,0.8155133626954699,2.1104003357638117,0.12528221309185028,0.2199999988079071,0.019858496030792594
collins,RandomForest,900,100,30,0.8524893086432459,3.4973804206811927,0.05755050480365753,0.23000000417232513,0.019672142807394266
collins,XGBoost,900,100,30,0.8500218284106381,2.866786706459194,0.05710669979453087,0.23000000417232513,0.019693464040756226
connect-4,CatBoost,60801,6756,3,0.18295289790418734,0.3272917559371564,0.015463383868336678,0.8701894879341125,0.024384852033108473
connect-4,ExtraTrees,60801,6756,3,0.25351537721710865,0.4579031804432402,0.01614397019147873,0.8235642313957214,0.023154304130002856
connect-4,LightGBM,60801,6756,3,0.1824821957566169,0.32827568794691175,0.01278421189635992,0.8688573241233826,0.02324187313206494
connect-4,LinearModel,60801,6756,3,0.33649061812688386,0.5979017428974082,0.014102352783083916,0.759177029132843,0.023284249007701874
connect-4,NeuralNetFastAI,60801,6756,3,0.17191505248246333,0.30900544356528525,0.023933183401823044,0.8771462440490723,0.02288711885921657
connect-4,NeuralNetTorch,60801,6756,3,0.1798646135964488,0.32133623698236635,0.02429911121726036,0.8722617030143738,0.023207942955195904
connect-4,RandomForest,60801,6756,3,0.26330464240679397,0.4770169665413741,0.01705637015402317,0.8143872022628784,0.02336314902640879
connect-4,XGBoost,60801,6756,3,0.1829199334126665,0.3285643899527146,0.015209545381367207,0.8679692149162292,0.02343630907125771
dilbert,CatBoost,9000,1000,5,0.03201299512119709,0.06884718944261901,0.009400071576237679,0.9810000061988831,0.008857178967446089
dilbert,ExtraTrees,9000,1000,5,0.04857653019257241,0.09902815800146954,0.01668824441730976,0.9729999899864197,0.008616682142019272
dilbert,LightGBM,9000,1000,5,0.01814178060882216,0.04197158204319057,0.0115855373442173,0.9890000224113464,0.008663836168125272
dilbert,LinearModel,9000,1000,5,0.10404123133797029,0.20376380558572668,0.02079380489885807,0.9369999766349792,0.008658807026222348
dilbert,NeuralNetFastAI,9000,1000,5,0.03582199683627543,0.0769870727061977,0.027297593653202057,0.9819999933242798,0.008815892040729523
dilbert,NeuralNetTorch,9000,1000,5,0.03163114615601167,0.07169484499478081,0.02358979359269142,0.9879999756813049,0.008551025995984674
dilbert,RandomForest,9000,1000,5,0.07942713512261657,0.21687959455340083,0.016066307201981544,0.9559999704360962,0.008443091064691544
dilbert,XGBoost,9000,1000,5,0.02895092328634581,0.06281495571831223,0.0070679220370948315,0.9829999804496765,0.00856989505700767
dna,CatBoost,2867,319,3,0.08635049214532743,0.14817130353104455,0.029523972421884537,0.9341692924499512,0.003155726008117199
dna,ExtraTrees,2867,319,3,0.10897793225161662,0.18993037379836306,0.03946099057793617,0.92476487159729,0.0030530670192092657
dna,LightGBM,2867,319,3,0.08620197651584789,0.15220872434885022,0.03250186890363693,0.9341692924499512,0.0032819220796227455
dna,LinearModel,2867,319,3,0.14290987008832137,0.2579695594428629,0.04697036370635033,0.9059560894966125,0.003065604018047452
dna,NeuralNetFastAI,2867,319,3,0.1003245583193873,0.37945144493582,0.035905107855796814,0.9341692924499512,0.003133098129183054
dna,NeuralNetTorch,2867,319,3,0.10173191065751419,0.3797636689732926,0.030398834496736526,0.931034505367279,0.0032665501348674297
dna,RandomForest,2867,319,3,0.10885947220400354,0.1973025856322353,0.032854318618774414,0.9184952974319458,0.0030497850384563208
dna,XGBoost,2867,319,3,0.0893950297294371,0.15423530530641022,0.030429795384407043,0.9341692924499512,0.003071095095947385
eucalyptus,CatBoost,662,74,5,0.40481857412091626,0.6677574963255437,0.11563940346240997,0.7027027010917664,0.0033816301729530096
eucalyptus,ExtraTrees,662,74,5,0.37679399096841115,0.6439439857289277,0.11880431324243546,0.7297297120094299,0.0034502199850976467
eucalyptus,LightGBM,662,74,5,0.3792930713418686,0.6527225292734129,0.12441036850214005,0.6756756901741028,0.0034274489153176546
eucalyptus,LinearModel,662,74,5,0.42325436631838204,0.7132788062446583,0.06876379251480103,0.6486486196517944,0.0034521520137786865
eucalyptus,NeuralNetFastAI,662,74,5,0.4075890398446977,0.6638591557643014,0.11383006721735,0.7027027010917664,0.003507510991767049
eucalyptus,NeuralNetTorch,662,74,5,0.40094164540915,0.643478990946332,0.0545007586479187,0.6756756901741028,0.003421291010454297
eucalyptus,RandomForest,662,74,5,0.395439823756677,0.682353120076354,0.11080658435821533,0.7027027010917664,0.003388384124264121
eucalyptus,XGBoost,662,74,5,0.42275916326490914,1.5991384747823887,0.1345738172531128,0.6891891956329346,0.0034581120125949383
eye_movements,CatBoost,9842,1094,3,0.35582821612718396,0.5997177594323554,0.017675450071692467,0.7340036630630493,0.0059566800482571125
eye_movements,ExtraTrees,9842,1094,3,0.3170043859458049,0.5431300872679771,0.02939910814166069,0.7733089327812195,0.0057836968917399645
eye_movements,LightGBM,9842,1094,3,0.2844446572309857,0.490375079365116,0.0470178946852684,0.809872031211853,0.005659230053424835
eye_movements,LinearModel,9842,1094,3,0.5646310672690805,0.9215114350537487,0.02835206687450409,0.515539288520813,0.0058763588313013315
eye_movements,NeuralNetFastAI,9842,1094,3,0.4333992070751799,0.7202769742959668,0.037520624697208405,0.6672760248184204,0.005799908889457583
eye_movements,NeuralNetTorch,9842,1094,3,0.4154948755415859,0.6916970611971934,0.06082289665937424,0.6864716410636902,0.005828832974657416
eye_movements,RandomForest,9842,1094,3,0.37842917631011586,0.6386006090623657,0.03805387392640114,0.7138939499855042,0.005807329900562763
eye_movements,XGBoost,9842,1094,3,0.3207547497731816,0.5499180826476078,0.03588173910975456,0.7723948955535889,0.005757530918344855
fabert,CatBoost,7413,824,7,0.3563481220492327,0.9449150664111751,0.05126388743519783,0.7293689250946045,0.010544319869950414
fabert,ExtraTrees,7413,824,7,0.3783746585889404,0.8156297129422346,0.06371226906776428,0.6929611563682556,0.010465065017342567
fabert,LightGBM,7413,824,7,0.36165558469844655,0.7927394332827202,0.04290452599525452,0.7245145440101624,0.010564246214926243
fabert,LinearModel,7413,824,7,0.485352978969239,1.0115258491186216,0.07794912904500961,0.6310679316520691,0.010831489926204085
fabert,NeuralNetFastAI,7413,824,7,0.39167250147340493,0.7892753473262932,0.033700790256261826,0.6953883767127991,0.010784432059153914
fabert,NeuralNetTorch,7413,824,7,0.4190816018825648,0.8434011301898664,0.061391592025756836,0.6856796145439148,0.010799600975587964
fabert,RandomForest,7413,824,7,0.3912404481651151,0.7703345907091977,0.0381886251270771,0.6905339956283569,0.010769193060696125
fabert,XGBoost,7413,824,7,0.369294859997502,0.8288879334741334,0.061619341373443604,0.719660222530365,0.010506778955459595
first-order-theorem-proving,CatBoost,5506,612,6,0.5077743797715438,1.1479099803707036,0.07098724693059921,0.6094771027565002,0.007765686837956309
first-order-theorem-proving,ExtraTrees,5506,612,6,0.5155442190542323,1.056311559623661,0.0675930306315422,0.5947712659835815,0.007812904892489314
first-order-theorem-proving,LightGBM,5506,612,6,0.5143433929283397,1.0563352602450875,0.05155231058597565,0.601307213306427,0.007795143174007535
first-order-theorem-proving,LinearModel,5506,612,6,0.6448816832659574,1.3708165981598808,0.045023754239082336,0.49346405267715454,0.007878041127696633
first-order-theorem-proving,NeuralNetFastAI,5506,612,6,0.5584198148275932,1.160458521074204,0.063060462474823,0.5735294222831726,0.008076025173068047
first-order-theorem-proving,NeuralNetTorch,5506,612,6,0.5513160076269812,1.2458048770726147,0.046174436807632446,0.5604575276374817,0.007997415959835052
first-order-theorem-proving,RandomForest,5506,612,6,0.5063858770637926,1.0381490031874807,0.038853105157613754,0.6062091588973999,0.008059934014454484
first-order-theorem-proving,XGBoost,5506,612,6,0.5064477336275193,1.0385916514426343,0.037583209574222565,0.6094771027565002,0.008110706927254796
