dataset,model,cal_size,test_size,n_classes,VS_brier,VS_logloss,VS_ece-15,VS_accuracy,VS_time
Indian_pines,NeuralNetTorch,8229,915,8,0.045942168682813644,0.08651944249868393,0.017498265951871872,0.9693989157676697,0.2004407939966768
Indian_pines,RandomForest,8229,915,8,0.11156471818685532,0.19566063582897186,0.030216490849852562,0.9289617538452148,0.3070065041538328
Indian_pines,XGBoost,8229,915,8,0.06678321957588196,0.12101402878761292,0.022963693365454674,0.9584699273109436,0.2664137149695307
LED-display-domain-7digit,CatBoost,450,50,10,0.40645766258239746,0.8237265944480896,0.1261947751045227,0.7200000286102295,0.01761815696954727
LED-display-domain-7digit,ExtraTrees,450,50,10,0.3862314522266388,0.7585446834564209,0.13024652004241943,0.7599999904632568,0.02351207216270268
LED-display-domain-7digit,LightGBM,450,50,10,0.3495820164680481,0.7146846652030945,0.17742490768432617,0.7799999713897705,0.016417719889432192
LED-display-domain-7digit,LinearModel,450,50,10,0.368818998336792,0.7358283996582031,0.11462588608264923,0.7200000286102295,0.018082445953041315
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.3574570417404175,0.7188235521316528,0.1422235369682312,0.7400000095367432,0.020687134005129337
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.3580547571182251,0.7020490765571594,0.11028700321912766,0.7599999904632568,0.024327283026650548
LED-display-domain-7digit,RandomForest,450,50,10,0.3981426954269409,0.7714817523956299,0.2249172180891037,0.7200000286102295,0.024032259127125144
LED-display-domain-7digit,XGBoost,450,50,10,0.3836808502674103,0.7796275615692139,0.14337199926376343,0.7200000286102295,0.015806601149961352
MiceProtein,CatBoost,972,108,8,0.010774784721434116,0.017911486327648163,0.006213781423866749,0.9907407164573669,0.030697164125740528
MiceProtein,ExtraTrees,972,108,8,0.01851743273437023,0.09663368761539459,0.009258806705474854,0.9907407164573669,0.05656057014130056
MiceProtein,LightGBM,972,108,8,0.0007689874619245529,0.0022477509919553995,0.0019964086823165417,1.0,0.010906324023380876
MiceProtein,LinearModel,972,108,8,0.0012864075833931565,0.006636610720306635,0.0062736934050917625,1.0,0.07828022306784987
MiceProtein,NeuralNetFastAI,972,108,8,1.3922758625994902e-05,0.0004657219396904111,0.00046241283416748047,1.0,0.013351368019357324
MiceProtein,NeuralNetTorch,972,108,8,2.423194422895847e-10,1.5916041320451768e-06,1.6689300537109375e-06,1.0,0.01903211302123964
MiceProtein,RandomForest,972,108,8,0.0703529417514801,0.4171728193759918,0.03754281997680664,0.9444444179534912,0.09643652010709047
MiceProtein,XGBoost,972,108,8,0.04221443459391594,1.0267544984817505,0.023599237203598022,0.9814814925193787,0.27601068187505007
Traffic_violations,CatBoost,63306,7034,3,0.2679727077484131,0.4033434987068176,0.010978369042277336,0.7996872067451477,0.2836891880724579
Traffic_violations,ExtraTrees,63306,7034,3,0.2775452435016632,0.4191919267177582,0.007205398753285408,0.7908729314804077,0.2334628498647362
Traffic_violations,LightGBM,63306,7034,3,0.27188730239868164,0.41050007939338684,0.00828251987695694,0.7954222559928894,0.20058180508203804
Traffic_violations,LinearModel,63306,7034,3,0.2761601209640503,0.41496098041534424,0.011113245040178299,0.7920102477073669,0.25605683005414903
Traffic_violations,NeuralNetFastAI,63306,7034,3,0.27513834834098816,0.41234347224235535,0.00642756000161171,0.7940005660057068,0.31238616816699505
Traffic_violations,NeuralNetTorch,63306,7034,3,0.2888270914554596,0.4378252625465393,0.008635435253381729,0.7831959128379822,0.15623553609475493
Traffic_violations,RandomForest,63306,7034,3,0.27347156405448914,0.41105324029922485,0.012467198073863983,0.7945692539215088,0.22758224816061556
Traffic_violations,XGBoost,63306,7034,3,0.2728463411331177,0.40890923142433167,0.006849275901913643,0.7931475639343262,0.2669782747980207
UMIST_Faces_Cropped,CatBoost,517,58,20,0.024510236456990242,0.3519805371761322,0.010112328454852104,0.982758641242981,0.05100824497640133
UMIST_Faces_Cropped,ExtraTrees,517,58,20,0.011910506524145603,0.015382785350084305,0.010242309421300888,0.982758641242981,0.07377882790751755
UMIST_Faces_Cropped,LightGBM,517,58,20,0.05748853087425232,0.6447929739952087,0.0264542605727911,0.9655172228813171,0.034626764012500644
UMIST_Faces_Cropped,LinearModel,517,58,20,0.046497561037540436,0.13275602459907532,0.02575170248746872,0.9655172228813171,0.03941081301309168
UMIST_Faces_Cropped,NeuralNetFastAI,517,58,20,0.03162675350904465,0.22955888509750366,0.009597684256732464,0.982758641242981,0.007892813067883253
UMIST_Faces_Cropped,NeuralNetTorch,517,58,20,0.05142815411090851,0.32920339703559875,0.0485689677298069,0.982758641242981,0.0056107910349965096
