dataset,model,cal_size,test_size,n_classes,CIR_brier,CIR_logloss,CIR_ece-15,CIR_accuracy,CIR_time
autoUniv-au6-750,CatBoost,675,75,8,0.847215802848065,1.9877782109936204,0.1270623654127121,0.2133333384990692,0.017960165860131383
autoUniv-au6-750,ExtraTrees,675,75,8,0.8396483431274249,2.84563792382071,0.11276157200336456,0.2800000011920929,0.01756910211406648
autoUniv-au6-750,LightGBM,675,75,8,0.8036656160773218,1.8712558108453543,0.07210960984230042,0.36000001430511475,0.017723755910992622
autoUniv-au6-750,LinearModel,675,75,8,0.8656549652518815,2.1222242338041353,0.04808385297656059,0.2133333384990692,0.017349909991025925
autoUniv-au6-750,NeuralNetFastAI,675,75,8,0.8508558434663575,1.985838530368531,0.01698574796319008,0.2133333384990692,0.017006040085107088
autoUniv-au6-750,NeuralNetTorch,675,75,8,0.8564966366466905,1.9975437778985339,0.10869698226451874,0.23999999463558197,0.01708465302363038
autoUniv-au6-750,RandomForest,675,75,8,0.7684778255796474,1.797983644991538,0.0863201692700386,0.3466666638851166,0.017441737931221724
autoUniv-au6-750,XGBoost,675,75,8,0.8157600757117381,1.9245403428472412,0.13653957843780518,0.3733333349227905,0.017554898047819734
autoUniv-au7-1100,CatBoost,990,110,5,0.7245324230156123,1.396591002958325,0.13260067999362946,0.4545454680919647,0.012463635066524148
autoUniv-au7-1100,ExtraTrees,990,110,5,0.7515095300743582,1.4519516559182721,0.15769709646701813,0.4272727370262146,0.013255435042083263
autoUniv-au7-1100,LightGBM,990,110,5,0.7144280519554105,1.3836374628206345,0.10836929827928543,0.4363636374473572,0.012150824069976807
autoUniv-au7-1100,LinearModel,990,110,5,0.7754880559765219,3.3305915418196963,0.14117202162742615,0.3545454442501068,0.011828250950202346
autoUniv-au7-1100,NeuralNetFastAI,990,110,5,0.746305373596857,2.0392329318092917,0.07286012917757034,0.38181817531585693,0.012143702013418078
autoUniv-au7-1100,NeuralNetTorch,990,110,5,0.7288369286959219,2.011010174965803,0.07083011418581009,0.3545454442501068,0.012109857983887196
autoUniv-au7-1100,RandomForest,990,110,5,0.7149440011201947,1.3838852034147808,0.09406422823667526,0.37272727489471436,0.012504321057349443
autoUniv-au7-1100,XGBoost,990,110,5,0.7030825334136122,1.3568232080909,0.1388811469078064,0.41818180680274963,0.01250969897955656
autoUniv-au7-700,CatBoost,630,70,3,0.5703521550715659,3.764139081940699,0.14491677284240723,0.5,0.007312656147405505
autoUniv-au7-700,ExtraTrees,630,70,3,0.5476325286919039,0.912388383103269,0.1397247463464737,0.44285714626312256,0.007245802087709308
autoUniv-au7-700,LightGBM,630,70,3,0.5300084128532672,0.8745108599810532,0.07695747166872025,0.5,0.007260606158524752
autoUniv-au7-700,LinearModel,630,70,3,0.6753495621596115,1.11498266178959,0.08805479109287262,0.3571428656578064,0.007194328121840954
autoUniv-au7-700,NeuralNetFastAI,630,70,3,0.627566160777552,1.0556508402109805,0.06233768165111542,0.48571428656578064,0.0072667940985411406
autoUniv-au7-700,NeuralNetTorch,630,70,3,0.6371171177042076,1.0557779760248154,0.11393094807863235,0.4285714328289032,0.007281897123903036
autoUniv-au7-700,RandomForest,630,70,3,0.5394194262112486,0.8759367602338858,0.11246879398822784,0.48571428656578064,0.008133646100759506
autoUniv-au7-700,XGBoost,630,70,3,0.5486872352891373,0.9066002183936275,0.14705997705459595,0.4714285731315613,0.007436827989295125
balance-scale,CatBoost,562,63,3,0.03819131638459947,0.08099342440911568,0.05104154348373413,0.9682539701461792,0.006871253019198775
balance-scale,ExtraTrees,562,63,3,0.1271637061176375,0.25776608749711116,0.1089855283498764,0.8888888955116272,0.00699856411665678
balance-scale,LightGBM,562,63,3,0.05072669930548422,0.09038462291353075,0.036882929503917694,0.9682539701461792,0.007169480202719569
balance-scale,LinearModel,562,63,3,0.0770530825114109,0.14239629978537854,0.04955986887216568,0.9523809552192688,0.00679886806756258
balance-scale,NeuralNetFastAI,562,63,3,0.0074752050655307435,0.017251451617643083,0.014135623350739479,1.0,0.00660752085968852
balance-scale,NeuralNetTorch,562,63,3,0.00030668322996696065,0.0016422229915287877,0.0015601867344230413,1.0,0.006486782804131508
balance-scale,RandomForest,562,63,3,0.12770891686299357,0.258412820683815,0.09832697361707687,0.8888888955116272,0.007463902002200484
balance-scale,XGBoost,562,63,3,0.039431116676427555,0.08368963392517811,0.04283257946372032,0.9682539701461792,0.007502977969124913
baseball,CatBoost,1206,134,3,0.07234763450540274,0.1278252942354307,0.03375234827399254,0.9626865386962891,0.007655126042664051
baseball,ExtraTrees,1206,134,3,0.07507020514720648,0.13952046901119122,0.02936393953859806,0.9626865386962891,0.007474774029105902
baseball,LightGBM,1206,134,3,0.06970929519857184,0.13066815718317817,0.024022024124860764,0.9552238583564758,0.007700223941355944
baseball,LinearModel,1206,134,3,0.06768883029835474,0.12757075918604766,0.027313504368066788,0.9552238583564758,0.007527627050876617
baseball,NeuralNetFastAI,1206,134,3,0.07392864157729681,0.13180412644444942,0.028628326952457428,0.9477611780166626,0.007539313985034823
baseball,NeuralNetTorch,1206,134,3,0.07552686540179232,0.14102610743024968,0.04540921747684479,0.9552238583564758,0.007561876205727458
baseball,RandomForest,1206,134,3,0.07556717773157536,0.14255206858524302,0.030309228226542473,0.9626865386962891,0.007415667176246643
baseball,XGBoost,1206,134,3,0.07611729253956825,0.13850646240751954,0.038631927222013474,0.9477611780166626,0.008235770044848323
car,CatBoost,1555,173,4,0.00020563394567381596,0.0011209322012869867,0.0010658525861799717,1.0,0.009359780000522733
car,ExtraTrees,1555,173,4,0.011291688372207509,0.031134277048915703,0.010331602767109871,0.9942196607589722,0.00870276684872806
car,LightGBM,1555,173,4,3.000000000000001e-60,0.0,5.960464477539063e-08,1.0,0.008484933990985155
car,LinearModel,1555,173,4,0.08295040273073813,0.12572347137833503,0.049850743263959885,0.913294792175293,0.009880847064778209
car,NeuralNetFastAI,1555,173,4,0.0001089222485686947,0.0005902059236959732,0.0005611343076452613,1.0,0.008962810970842838
car,NeuralNetTorch,1555,173,4,0.0001576381271791726,0.0009126205200287839,0.0008699136087670922,1.0,0.008341498905792832
car,RandomForest,1555,173,4,0.03228672705739334,0.06146524527099959,0.015879955142736435,0.9826589822769165,0.009558722143992782
car,XGBoost,1555,173,4,3.000000000000001e-60,0.0,5.960464477539063e-08,1.0,0.009065628983080387
cardiotocography,CatBoost,1913,213,10,9.000008929734064e-60,0.0,5.960464477539063e-08,1.0,0.021800924092531204
cardiotocography,ExtraTrees,1913,213,10,9.000000000000006e-60,0.0,5.960464477539063e-08,1.0,0.01972158602438867
cardiotocography,LightGBM,1913,213,10,8.514977931145675e-19,5.0787818120586196e-11,5.960464477539063e-08,1.0,0.024019568925723433
cardiotocography,LinearModel,1913,213,10,9.000007995276422e-60,0.0,5.960464477539063e-08,1.0,0.022013349924236536
cardiotocography,NeuralNetFastAI,1913,213,10,0.00013339686141474496,0.0006045737415934548,0.000568406714592129,1.0,0.019177756970748305
cardiotocography,NeuralNetTorch,1913,213,10,9.000000000000006e-60,0.0,5.960464477539063e-08,1.0,0.02061691414564848
cardiotocography,RandomForest,1913,213,10,9.000000000000006e-60,0.0,5.960464477539063e-08,1.0,0.02032807911746204
cardiotocography,XGBoost,1913,213,10,9.000000000000006e-60,0.0,5.960464477539063e-08,1.0,0.022630297113209963
cmc,CatBoost,1325,148,3,0.49438145168547365,0.8272577392850436,0.07381395995616913,0.587837815284729,0.008169234963133931
cmc,ExtraTrees,1325,148,3,0.5011226670632836,0.8448153642632827,0.06291860342025757,0.5945945978164673,0.008155256044119596
cmc,LightGBM,1325,148,3,0.5198087806338321,0.8706889925776501,0.061418525874614716,0.5472972989082336,0.00787856406532228
cmc,LinearModel,1325,148,3,0.5249145673792733,0.8708458459750824,0.11255902051925659,0.6013513803482056,0.007954573025926948
cmc,NeuralNetFastAI,1325,148,3,0.49878802998799987,0.8369527715270936,0.09669375419616699,0.6013513803482056,0.007861181860789657
cmc,NeuralNetTorch,1325,148,3,0.500419563861227,0.8430822696114564,0.09431172907352448,0.6418918967247009,0.007952382089570165
cmc,RandomForest,1325,148,3,0.5042725733829972,0.842861940367041,0.06393514573574066,0.587837815284729,0.00767425587400794
cmc,XGBoost,1325,148,3,0.5011803381263933,0.8483966960341541,0.13598880171775818,0.5743243098258972,0.00801211898215115
cnae-9,CatBoost,972,108,9,0.07240755272404437,0.7800497406891798,0.0226653553545475,0.9537037014961243,0.0196861510630697
cnae-9,ExtraTrees,972,108,9,0.06260890634932734,0.1648457111890512,0.0495518334209919,0.9722222089767456,0.019094185903668404
cnae-9,LightGBM,972,108,9,0.046812188900496925,0.10951938311836848,0.03280676528811455,0.9722222089767456,0.02051746309734881
cnae-9,LinearModel,972,108,9,0.06397938931902863,0.7354827788395086,0.030296361073851585,0.9537037014961243,0.019245405914261937
cnae-9,NeuralNetFastAI,972,108,9,0.04809555358689223,0.09324560000317196,0.03432626649737358,0.9629629850387573,0.019088211003690958
cnae-9,NeuralNetTorch,972,108,9,0.05262491395429366,0.10317804711862462,0.03759244084358215,0.9629629850387573,0.017969144973903894
cnae-9,RandomForest,972,108,9,0.07039414424153477,0.7466132335302608,0.06189928576350212,0.9629629850387573,0.019858710002154112
cnae-9,XGBoost,972,108,9,0.08645981035358209,0.17996068694030104,0.04038531333208084,0.9351851940155029,0.01892083417624235
collins,CatBoost,900,100,30,0.7984565850327382,2.070671060864458,0.05724058672785759,0.3199999928474426,0.06300069903954864
collins,ExtraTrees,900,100,30,0.8314952585835244,2.1385643307527347,0.11286330223083496,0.23999999463558197,0.061571466038003564
collins,LightGBM,900,100,30,0.8102402187893594,2.0806757572338967,0.13829797506332397,0.3199999928474426,0.06299905781634152
collins,LinearModel,900,100,30,0.8038275083952813,3.3958113160678716,0.10306839644908905,0.3499999940395355,0.06337102805264294
collins,NeuralNetFastAI,900,100,30,0.8017986608817137,2.693044546646677,0.06503226608037949,0.30000001192092896,0.06316693499684334
collins,NeuralNetTorch,900,100,30,0.7815641967084892,3.2820995200367076,0.13952545821666718,0.28999999165534973,0.062331740045920014
collins,RandomForest,900,100,30,0.8272102605095235,2.162915016358133,0.10789221525192261,0.25,0.062126239063218236
collins,XGBoost,900,100,30,0.841555641732712,2.2526499708978225,0.10337921977043152,0.25,0.06384635413996875
connect-4,CatBoost,60801,6756,3,0.17812120093269335,0.31999033006055555,0.015335189178586006,0.873001754283905,0.07455487293191254
connect-4,ExtraTrees,60801,6756,3,0.25107262344022063,0.4534859160888573,0.013682992197573185,0.8225281238555908,0.07324439217336476
connect-4,LightGBM,60801,6756,3,0.1780098274829797,0.3204955007364861,0.017718106508255005,0.8734458088874817,0.07326241303235292
connect-4,LinearModel,60801,6756,3,0.3347728577102344,0.594443453578218,0.01307191327214241,0.7563647031784058,0.07474450604058802
connect-4,NeuralNetFastAI,60801,6756,3,0.16713408642932434,0.3003465877692628,0.019289029762148857,0.882178783416748,0.07655010581947863
connect-4,NeuralNetTorch,60801,6756,3,0.17527583506235772,0.3137809727045584,0.02236485294997692,0.8767021894454956,0.0747193859424442
connect-4,RandomForest,60801,6756,3,0.2614213409878704,0.4737593940278086,0.01668715476989746,0.8160154223442078,0.07786920596845448
connect-4,XGBoost,60801,6756,3,0.17880794435896968,0.3212736213309939,0.014461812563240528,0.8721137046813965,0.07313352613709867
dilbert,CatBoost,9000,1000,5,0.02438404852813255,0.10838594553432425,0.008789192885160446,0.9850000143051147,0.02053402317687869
dilbert,ExtraTrees,9000,1000,5,0.03916328004733465,0.0759759717071354,0.01054485235363245,0.9710000157356262,0.021493115928024054
dilbert,LightGBM,9000,1000,5,0.011133871576250641,0.08531587954918604,0.006237038876861334,0.9940000176429749,0.01936364802531898
dilbert,LinearModel,9000,1000,5,0.09090389636751901,0.16557003954297653,0.017025550827383995,0.9380000233650208,0.02236826391890645
dilbert,NeuralNetFastAI,9000,1000,5,0.019710438984913033,0.10186073186743533,0.010111394338309765,0.9890000224113464,0.020574089139699936
dilbert,NeuralNetTorch,9000,1000,5,0.012971345186201496,0.02817719266928028,0.011714375577867031,0.9919999837875366,0.021536324871703982
dilbert,RandomForest,9000,1000,5,0.06619606035015442,0.1864880810351076,0.016601765528321266,0.9549999833106995,0.022422075970098376
dilbert,XGBoost,9000,1000,5,0.01984349248369349,0.10039792964740103,0.00946961808949709,0.9869999885559082,0.021204454824328423
dna,CatBoost,2867,319,3,0.06274170937636268,0.1149025984064408,0.017255013808608055,0.962382435798645,0.008576967986300588
dna,ExtraTrees,2867,319,3,0.08126795326984004,0.15826000013169805,0.030980899930000305,0.9467084407806396,0.008857883047312498
dna,LightGBM,2867,319,3,0.0639721500464179,0.11503810506956812,0.03287398815155029,0.9498432874679565,0.008667011046782136
dna,LinearModel,2867,319,3,0.11898127438175697,0.21886697183611184,0.026424357667565346,0.9278996586799622,0.008801619056612253
dna,NeuralNetFastAI,2867,319,3,0.07914133620146696,0.1504906644881863,0.030891532078385353,0.9467084407806396,0.00884573208168149
dna,NeuralNetTorch,2867,319,3,0.08212940217111346,0.1506829147498109,0.01962963119149208,0.9498432874679565,0.00861835409887135
dna,RandomForest,2867,319,3,0.09021111488488086,0.16327877382637238,0.026320332661271095,0.9435736536979675,0.008977836929261684
dna,XGBoost,2867,319,3,0.06126978537900792,0.1152224495952863,0.014478296972811222,0.9592476487159729,0.008632544195279479
eucalyptus,CatBoost,662,74,5,0.40753247160114736,0.6689823546526867,0.11090996861457825,0.6756756901741028,0.011004787171259522
eucalyptus,ExtraTrees,662,74,5,0.365759154216058,0.6174187531629396,0.10122604668140411,0.7027027010917664,0.010864053154364228
eucalyptus,LightGBM,662,74,5,0.3700879919623556,0.6202762804178088,0.10214220732450485,0.6891891956329346,0.011024384060874581
eucalyptus,LinearModel,662,74,5,0.44654916847196197,0.7416688337992439,0.09698987752199173,0.6486486196517944,0.010870017111301422
eucalyptus,NeuralNetFastAI,662,74,5,0.4006233134946892,0.635010535893104,0.12917578220367432,0.7162162065505981,0.010775472037494183
eucalyptus,NeuralNetTorch,662,74,5,0.4237228567574798,0.6535500655914478,0.061387673020362854,0.6486486196517944,0.01103127608075738
eucalyptus,RandomForest,662,74,5,0.3945739481180408,0.6519108583993539,0.10264844447374344,0.6891891956329346,0.010755399009212852
eucalyptus,XGBoost,662,74,5,0.4110812199396023,1.573600320967182,0.117536261677742,0.7027027010917664,0.011097074951976538
eye_movements,CatBoost,9842,1094,3,0.3531735427743711,0.5970422985713851,0.03400403633713722,0.7340036630630493,0.01706237904727459
eye_movements,ExtraTrees,9842,1094,3,0.3183729658900886,0.5444110350077008,0.03729569911956787,0.7751371264457703,0.016101117944344878
eye_movements,LightGBM,9842,1094,3,0.2795910804731501,0.5418974443418649,0.036753080785274506,0.8126142621040344,0.016686429968103766
eye_movements,LinearModel,9842,1094,3,0.5650686868449354,0.9192389376843828,0.026206761598587036,0.5082266926765442,0.015902173006907105
eye_movements,NeuralNetFastAI,9842,1094,3,0.43249533705766674,0.7183750659661171,0.0449553057551384,0.6700182557106018,0.016620978945866227
eye_movements,NeuralNetTorch,9842,1094,3,0.41570062395258683,0.7511092068349502,0.056063003838062286,0.6873857378959656,0.016782718943431973
eye_movements,RandomForest,9842,1094,3,0.3792149235631302,0.6390499268652274,0.0245247520506382,0.7148080468177795,0.016588278813287616
eye_movements,XGBoost,9842,1094,3,0.3183743243513654,0.6033222151109913,0.030735189095139503,0.7687385678291321,0.016743901185691357
fabert,CatBoost,7413,824,7,0.34916222128016355,0.7782949143248781,0.033545468002557755,0.7366504669189453,0.030075313989073038
fabert,ExtraTrees,7413,824,7,0.36940047390075365,0.7989477379474516,0.05621033534407616,0.6978155374526978,0.030054305912926793
fabert,LightGBM,7413,824,7,0.35491138558178115,0.7013545100843044,0.053482551127672195,0.7184466123580933,0.03036770992912352
fabert,LinearModel,7413,824,7,0.4776640572758469,0.995109893496789,0.07549155503511429,0.6334951519966125,0.029700239887461066
fabert,NeuralNetFastAI,7413,824,7,0.38434313877109066,0.7757921533013767,0.03212746977806091,0.707524299621582,0.02995678619481623
fabert,NeuralNetTorch,7413,824,7,0.41220529959429775,0.83526821525831,0.07081317901611328,0.7026699185371399,0.031509696040302515
fabert,RandomForest,7413,824,7,0.38009247910440014,0.827758539026685,0.03324819728732109,0.7050970792770386,0.031075276900082827
fabert,XGBoost,7413,824,7,0.35871182939214474,0.8102660143970969,0.030091723427176476,0.7245145440101624,0.03151085693389177
first-order-theorem-proving,CatBoost,5506,612,6,0.5052175619088286,1.1429097552954834,0.06391429156064987,0.6274510025978088,0.022987608099356294
first-order-theorem-proving,ExtraTrees,5506,612,6,0.5112174411511573,1.0517457411425593,0.05103015899658203,0.6045751571655273,0.02327226591296494
