dataset,model,cal_size,test_size,n_classes,Dirichlet_brier,Dirichlet_logloss,Dirichlet_ece-15,Dirichlet_accuracy,Dirichlet_time
car,LinearModel,1555,173,4,0.0817445389903139,0.13097012201612354,0.03549322485923767,0.9248554706573486,0.768108744872734
car,NeuralNetFastAI,1555,173,4,5.669980474325937e-05,0.0006940848985296241,0.000679385440889746,1.0,1.2587781380861998
car,NeuralNetTorch,1555,173,4,6.551077320736377e-07,0.00018508592105057878,0.00018453598022460938,1.0,1.3829284850507975
car,RandomForest,1555,173,4,0.028878241498095165,0.054760518231101195,0.01703987643122673,0.9826589822769165,0.655307810055092
car,XGBoost,1555,173,4,7.143727546433502e-05,0.0008884217603851401,0.0008697775192558765,1.0,0.9603403401561081
cardiotocography,CatBoost,1913,213,10,6.298170942853348e-08,0.00011481944003778411,0.00011557340621948242,1.0,8.88342581409961
cardiotocography,ExtraTrees,1913,213,10,1.604185339102563e-08,7.003138346976697e-05,7.158517837524414e-05,1.0,3.115170830162242
cardiotocography,LightGBM,1913,213,10,2.5734779975237916e-08,8.464931132047901e-05,8.52346420288086e-05,1.0,2.904742506099865
cardiotocography,LinearModel,1913,213,10,3.2995285631194454e-08,8.132797415221422e-05,8.219480514526367e-05,1.0,2.8609512120019644
cardiotocography,NeuralNetFastAI,1913,213,10,4.929780741089578e-07,0.00010517748570282765,0.00010657310485839844,1.0,2.6785093140788376
cardiotocography,NeuralNetTorch,1913,213,10,1.6530244152493725e-08,7.056240409489011e-05,7.212162017822266e-05,1.0,2.695373931201175
cardiotocography,RandomForest,1913,213,10,1.4105939151634e-08,6.740600612931278e-05,6.842613220214844e-05,1.0,2.8697995499242097
cardiotocography,XGBoost,1913,213,10,2.0587961696364694e-07,0.00022039715062310876,0.00022149085998535156,1.0,3.0538533909711987
cmc,CatBoost,1325,148,3,0.49531732599762507,0.8350530331192934,0.08725269138813019,0.5945945978164673,6.169057368999347
cmc,ExtraTrees,1325,148,3,0.5065506546586801,0.8555705159112516,0.06267517805099487,0.5945945978164673,0.4017555280588567
cmc,LightGBM,1325,148,3,0.5213908329270897,0.8763558472831382,0.07111053913831711,0.5743243098258972,0.4033136060461402
cmc,LinearModel,1325,148,3,0.5203197204601292,0.8658302895378364,0.08520033955574036,0.6081081032752991,0.30804342892952263
cmc,NeuralNetFastAI,1325,148,3,0.5013364997028585,0.8426619716335723,0.06267035007476807,0.5810810923576355,0.40340780117549
cmc,NeuralNetTorch,1325,148,3,0.5054959762053362,0.8524707185967605,0.12490665912628174,0.6486486196517944,0.3082026820629835
cmc,RandomForest,1325,148,3,0.5047370077501637,0.8471138115041895,0.07627738267183304,0.5743243098258972,0.3110543810762465
cmc,XGBoost,1325,148,3,0.5013715761434471,0.8472969863390698,0.07243233919143677,0.5810810923576355,0.40844781091436744
cnae-9,CatBoost,972,108,9,0.08115474469199588,0.22523206740742086,0.04801957681775093,0.9537037014961243,12.340154758188874
cnae-9,ExtraTrees,972,108,9,0.08584839547965174,0.22239428191670937,0.04462841898202896,0.9444444179534912,1.6220943359658122
