dataset,model,cal_size,test_size,n_classes,SVS_brier,SVS_logloss,SVS_ece-15,SVS_accuracy,SVS_time
anneal,ModernNCA_GPU,598,300,5,0.00826952699571848,0.03416978567838669,0.00532539002597332,0.996666669845581,0.017261706991121173
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06868237257003784,0.17735743522644043,0.003982372581958771,0.9648985862731934,0.030066845007240772
maternal_health_risk,ModernNCA_GPU,676,338,3,0.21321000158786774,0.39721181988716125,0.051696423441171646,0.857988178730011,0.033240645192563534
splice,ModernNCA_GPU,2126,1064,3,0.0482950285077095,0.10535936802625656,0.030015964061021805,0.9746240377426147,0.025846200995147228
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.3224637508392334,0.5704914927482605,0.029778972268104553,0.7776271104812622,0.030905505875125527
website_phishing,ModernNCA_GPU,902,451,3,0.12721581757068634,0.2263479232788086,0.02996404841542244,0.9246119856834412,0.021039162063971162
MIC,Mitra_GPU,1132,567,8,0.18257392942905426,0.4621564745903015,0.047064799815416336,0.8888888955116272,0.02545627811923623
anneal,Mitra_GPU,598,300,5,0.010059358552098274,0.03262385353446007,0.007939833216369152,0.996666669845581,0.013197347987443209
maternal_health_risk,Mitra_GPU,676,338,3,0.19374391436576843,0.38292744755744934,0.06898187845945358,0.8905325531959534,0.01509390794672072
splice,Mitra_GPU,2126,1064,3,0.04143422469496727,0.089079350233078,0.01991982012987137,0.972744345664978,0.02107059000991285
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.31291767954826355,0.5545004606246948,0.024526549503207207,0.7742372751235962,0.02459042496047914
website_phishing,Mitra_GPU,902,451,3,0.11788348108530045,0.21495342254638672,0.0352337621152401,0.9312638640403748,0.01811333606019616
MIC,TabDPT_GPU,1132,567,8,0.18913860619068146,0.4841487407684326,0.024484729394316673,0.8888888955116272,0.035313579021021724
SDSS17,TabDPT_GPU,52035,26018,3,0.04072580486536026,0.08175291866064072,0.0031907688826322556,0.9751710295677185,0.3064537150785327
anneal,TabDPT_GPU,598,300,5,0.011574947275221348,0.037213388830423355,0.0020014478359371424,0.9933333396911621,0.01411087904125452
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.06832234561443329,0.17448441684246063,0.0003925493801943958,0.9648985862731934,0.024724563118070364
maternal_health_risk,TabDPT_GPU,676,338,3,0.17887310683727264,0.35399481654167175,0.03164217621088028,0.8786982297897339,0.018413085024803877
splice,TabDPT_GPU,2126,1064,3,0.09808962792158127,0.1782199740409851,0.011692301370203495,0.9360902309417725,0.023707926971837878
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.3236841559410095,0.5706169009208679,0.017976125702261925,0.7640677690505981,0.02450269996188581
website_phishing,TabDPT_GPU,902,451,3,0.11651571840047836,0.2082589715719223,0.03752657026052475,0.9290465712547302,0.0187834061216563
