dataset,model,cal_size,test_size,n_classes,CatBoost_brier,CatBoost_logloss,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
hiva_agnostic,TabM_GPU,2563,1282,3,0.06841497404435862,0.17640448660264277,0.0037792325019836426,0.9648985862731934,0.5355378370732069
maternal_health_risk,TabM_GPU,676,338,3,0.2783289897967874,0.49030330695350016,0.06576844304800034,0.8047337532043457,0.6275432540569454
splice,TabM_GPU,2126,1064,3,0.04089040653258256,0.08745011422719416,0.012328785844147205,0.9736841917037964,0.7058618830051273
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.3206228519994744,0.5691115804994247,0.029700931161642075,0.7688135504722595,0.7603386249393225
website_phishing,TabM_GPU,902,451,3,0.11941066350146279,0.2193284723616673,0.017061568796634674,0.9135255217552185,0.5358768650330603
MIC,RealMLP_GPU,1132,567,8,0.18484003584587405,0.4676235420130124,0.026264037936925888,0.8871251940727234,1.0810482329688966
SDSS17,RealMLP_GPU,52035,26018,3,0.042273620933961205,0.08522682428537622,0.003711166325956583,0.9746713638305664,12.850802870932966
anneal,RealMLP_GPU,598,300,5,0.018660251681452827,0.04419712252173095,0.006685265805572271,0.9866666793823242,2.587133950088173
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.06836434272328454,0.17472361813553175,0.0012044988106936216,0.9648985862731934,0.6802330708596855
maternal_health_risk,RealMLP_GPU,676,338,3,0.2178462744249146,0.4044128246321699,0.06677300482988358,0.8698225021362305,0.5176017198245972
splice,RealMLP_GPU,2126,1064,3,0.03859535349301312,0.08238266178601958,0.008649581111967564,0.9755638837814331,0.7841298510320485
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.3159553997953745,0.55962366435732,0.02754451334476471,0.783728837966919,1.0365876159630716
website_phishing,RealMLP_GPU,902,451,3,0.12044904737047366,0.2162035622848748,0.03501046448945999,0.9201774001121521,0.6696261868346483
MIC,BetaTabPFN_GPU,1132,567,8,0.18320470612580936,0.46567755075083733,0.032288502901792526,0.8906525373458862,1.0272026269230992
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.047331048125112185,0.0939612316391532,0.003934962674975395,0.9715965986251831,11.884117797017097
anneal,BetaTabPFN_GPU,598,300,5,0.019877448485601246,0.0572986502698198,0.010043833404779434,0.9900000095367432,2.3928680780809373
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.06830029257277394,0.17413706371195833,0.000974118709564209,0.9648985862731934,0.5758058270439506
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.3043026880038079,0.5305178422018165,0.04794606566429138,0.7928994297981262,0.7389614298008382
splice,BetaTabPFN_GPU,2126,1064,3,0.03900085931267848,0.08427095314163215,0.00995426345616579,0.9755638837814331,0.7225982390809804
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.3198016153174749,0.5686926263584019,0.01654558815062046,0.7694915533065796,0.8063692541327327
website_phishing,BetaTabPFN_GPU,902,451,3,0.12945369819130376,0.2346602049655664,0.019158324226737022,0.9223946928977966,0.5742164480034262
MIC,ModernNCA_GPU,1132,567,8,0.1833583280668215,0.46582917875279767,0.03912670910358429,0.8888888955116272,1.0003876979462802
SDSS17,ModernNCA_GPU,52035,26018,3,0.03794150094751306,0.07494217202693444,0.0025478864554315805,0.9764778017997742,7.657196142012253
