dataset,model,cal_size,test_size,n_classes,TS_brier,TS_logloss,TS_ece-15,TS_accuracy,TS_time
SDSS17,TabM_GPU,52035,26018,3,0.04162273928523064,0.0828549936413765,0.003409593366086483,0.9741716980934143,0.18207420012913644
anneal,TabM_GPU,598,300,5,0.009513318538665771,0.04042750969529152,0.006264289375394583,0.996666669845581,0.0055878430139273405
hiva_agnostic,TabM_GPU,2563,1282,3,0.06826527416706085,0.17386430501937866,0.0001240372657775879,0.9648985862731934,0.011209610849618912
maternal_health_risk,TabM_GPU,676,338,3,0.26130175590515137,0.4768293499946594,0.0994623675942421,0.8520709872245789,0.005038188071921468
splice,TabM_GPU,2126,1064,3,0.046291742473840714,0.09739045053720474,0.012444318272173405,0.9708646535873413,0.01000606082379818
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.31751587986946106,0.5617331266403198,0.01957939937710762,0.7728813290596008,0.012454431038349867
website_phishing,TabM_GPU,902,451,3,0.12143208086490631,0.22121672332286835,0.03390369936823845,0.9223946928977966,0.00582808000035584
MIC,RealMLP_GPU,1132,567,8,0.1809125393629074,0.450965017080307,0.038511842489242554,0.8959435820579529,0.00990397296845913
SDSS17,RealMLP_GPU,52035,26018,3,0.04312743619084358,0.08636268973350525,0.002439207397401333,0.9737105369567871,0.1765592449810356
anneal,RealMLP_GPU,598,300,5,0.012585571967065334,0.029593706130981445,0.006721575278788805,0.9900000095367432,0.005457080900669098
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.0688275620341301,0.17877992987632751,0.001354837091639638,0.9648985862731934,0.011286462191492319
maternal_health_risk,RealMLP_GPU,676,338,3,0.21180865168571472,0.39652305841445923,0.08295861631631851,0.860946774482727,0.005011037923395634
splice,RealMLP_GPU,2126,1064,3,0.040882740169763565,0.08787747472524643,0.017238277941942215,0.9746240377426147,0.009836012963205576
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.31627973914146423,0.561560332775116,0.026540523394942284,0.7844067811965942,0.012562938034534454
website_phishing,RealMLP_GPU,902,451,3,0.11835183948278427,0.21077655255794525,0.027002766728401184,0.9246119856834412,0.0058079869486391544
MIC,BetaTabPFN_GPU,1132,567,8,0.17994610965251923,0.45341289043426514,0.022823845967650414,0.8888888955116272,0.00981301604770124
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.04901406541466713,0.09787598997354507,0.0019759598653763533,0.9705972671508789,0.17813166789710522
anneal,BetaTabPFN_GPU,598,300,5,0.015011108480393887,0.043645039200782776,0.005502899643033743,0.9900000095367432,0.0055054971016943455
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.06833717972040176,0.17507952451705933,0.0001291036605834961,0.9648985862731934,0.01128327683545649
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.28414562344551086,0.5031534433364868,0.0788259357213974,0.8047337532043457,0.005047726910561323
splice,BetaTabPFN_GPU,2126,1064,3,0.04166631028056145,0.08772172778844833,0.01851874217391014,0.9708646535873413,0.009861976141110063
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.3187962770462036,0.5689432621002197,0.025061756372451782,0.7715254426002502,0.01245753513649106
website_phishing,BetaTabPFN_GPU,902,451,3,0.13256202638149261,0.23555266857147217,0.032128412276506424,0.9179601073265076,0.00581161305308342
MIC,ModernNCA_GPU,1132,567,8,0.183018758893013,0.4558742046356201,0.04673037678003311,0.8888888955116272,0.009849541122093797
SDSS17,ModernNCA_GPU,52035,26018,3,0.03826748952269554,0.07546326518058777,0.003570903092622757,0.9764778017997742,0.17388221598230302
anneal,ModernNCA_GPU,598,300,5,0.008551671169698238,0.03983152285218239,0.006258572451770306,0.996666669845581,0.005545018007978797
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06890462338924408,0.17866425216197968,0.004390999209135771,0.9648985862731934,0.011308695888146758
maternal_health_risk,ModernNCA_GPU,676,338,3,0.21611592173576355,0.39550238847732544,0.04174679517745972,0.8461538553237915,0.0051087080501019955
splice,ModernNCA_GPU,2126,1064,3,0.04992687702178955,0.10797480493783951,0.031722016632556915,0.972744345664978,0.009855798911303282
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.3225623667240143,0.5709126591682434,0.022330179810523987,0.7755932211875916,0.012534004170447588
website_phishing,ModernNCA_GPU,902,451,3,0.12877552211284637,0.22778095304965973,0.03348656743764877,0.9201774001121521,0.005849397042766213
MIC,Mitra_GPU,1132,567,8,0.18297742307186127,0.4629131257534027,0.0377662219107151,0.8871251940727234,0.009956249967217445
anneal,Mitra_GPU,598,300,5,0.009663711301982403,0.02953537553548813,0.008149024099111557,0.996666669845581,0.0065628529991954565
maternal_health_risk,Mitra_GPU,676,338,3,0.19231992959976196,0.38111230731010437,0.06950167566537857,0.8905325531959534,0.005082749063149095
splice,Mitra_GPU,2126,1064,3,0.0416957251727581,0.09002484381198883,0.019643327221274376,0.972744345664978,0.009809355949983
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.3122543692588806,0.5529206395149231,0.019832560792565346,0.7749152779579163,0.01260262681171298
website_phishing,Mitra_GPU,902,451,3,0.11799520254135132,0.21460947394371033,0.029872281476855278,0.9312638640403748,0.005933843087404966
MIC,TabDPT_GPU,1132,567,8,0.18904785811901093,0.4849597215652466,0.02085389569401741,0.8853615522384644,0.00994891719892621
SDSS17,TabDPT_GPU,52035,26018,3,0.041024502366781235,0.08449063450098038,0.0037286928854882717,0.9749019742012024,0.1762368311174214
anneal,TabDPT_GPU,598,300,5,0.010682845488190651,0.032305799424648285,0.0039866529405117035,0.9933333396911621,0.005563093116506934
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.06833218038082123,0.17467482388019562,0.00016391705139540136,0.9648985862731934,0.011287427973002195
maternal_health_risk,TabDPT_GPU,676,338,3,0.17985236644744873,0.34630632400512695,0.039879851043224335,0.8786982297897339,0.005096500040963292
splice,TabDPT_GPU,2126,1064,3,0.09879155457019806,0.1791451871395111,0.008187114261090755,0.9332706928253174,0.009866758016869426
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.32342618703842163,0.5696499347686768,0.01509523019194603,0.7654237151145935,0.012555552879348397
website_phishing,TabDPT_GPU,902,451,3,0.11795441806316376,0.21059080958366394,0.025995029136538506,0.9290465712547302,0.005886011058464646
