dataset,model,cal_size,test_size,n_classes,Spline_brier,Spline_logloss,Spline_ece-15,Spline_accuracy,Spline_time
maternal_health_risk,RealMLP_GPU,676,338,3,0.2109172433945624,0.40356369584732116,0.08762820065021515,0.860946774482727,0.618833180051297
splice,RealMLP_GPU,2126,1064,3,0.03927655855144883,0.08409772697586548,0.01668480783700943,0.9736841917037964,1.0676683119963855
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.31606755506217055,0.5598112056800364,0.02070348523557186,0.7796609997749329,1.1695326450280845
website_phishing,RealMLP_GPU,902,451,3,0.11770994217167492,0.20969410603321512,0.03622133657336235,0.9268292784690857,0.6690486681181937
MIC,BetaTabPFN_GPU,1132,567,8,0.18029943006757296,0.4551689047385079,0.019899193197488785,0.8888888955116272,1.6031692021060735
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.047863487969628436,0.09542138937968345,0.0034889879170805216,0.9709047675132751,20.532151854829863
anneal,BetaTabPFN_GPU,598,300,5,0.015321378628265304,0.06653507172205274,0.004314842633903027,0.9900000095367432,0.8173169358633459
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.06828582941777556,0.1739281911809753,0.0009349584579467773,0.9648985862731934,0.6539421591442078
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.28567040239624175,0.5033568305450999,0.07768623530864716,0.807692289352417,0.6241280739195645
splice,BetaTabPFN_GPU,2126,1064,3,0.04073046991640135,0.08893890046621868,0.023510722443461418,0.9736841917037964,1.402214960893616
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.31895145815022075,0.5664350219891465,0.028596486896276474,0.7749152779579163,1.1674613109789789
website_phishing,BetaTabPFN_GPU,902,451,3,0.12989357828762388,0.24750197372882293,0.0262005515396595,0.9201774001121521,0.8014524849131703
MIC,ModernNCA_GPU,1132,567,8,0.18533112280360547,0.46946392285144894,0.049940325319767,0.8888888955116272,1.9874121870379895
SDSS17,ModernNCA_GPU,52035,26018,3,0.03801491442280577,0.07518360600570581,0.0030728811398148537,0.9763240814208984,22.625542871188372
anneal,ModernNCA_GPU,598,300,5,0.008528636303946185,0.043980199288265596,0.0063462816178798676,0.996666669845581,0.7191268128808588
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06851321654014848,0.17673618572679117,0.00277461064979434,0.9648985862731934,0.8811043410096318
maternal_health_risk,ModernNCA_GPU,676,338,3,0.21398364415632098,0.3998268844251326,0.04840081185102463,0.8491124510765076,0.7141305161640048
splice,ModernNCA_GPU,2126,1064,3,0.04596668385456299,0.10023451459857483,0.02548178657889366,0.9746240377426147,1.567507757106796
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.32239980953447583,0.5722073751650649,0.0280457716435194,0.7769491672515869,1.1105673990678042
website_phishing,ModernNCA_GPU,902,451,3,0.12985812717303435,0.22919848669280724,0.02845975011587143,0.9179601073265076,0.7157241040840745
MIC,Mitra_GPU,1132,567,8,0.1824198081561608,0.4693669358694052,0.025545544922351837,0.8888888955116272,1.722368456888944
anneal,Mitra_GPU,598,300,5,0.009920189257962156,0.041592918271083794,0.010149850510060787,0.996666669845581,0.802051394013688
maternal_health_risk,Mitra_GPU,676,338,3,0.19135780580760245,0.3716215771610183,0.06259431689977646,0.8875739574432373,0.6723412638530135
splice,Mitra_GPU,2126,1064,3,0.04167588926989042,0.09322503859770293,0.022754142060875893,0.972744345664978,1.314218208892271
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.3125700567488545,0.5526199356304788,0.03125292435288429,0.7742372751235962,1.3001910420134664
website_phishing,Mitra_GPU,902,451,3,0.11660920666398057,0.21514708557449777,0.026650719344615936,0.9312638640403748,0.6545835940632969
MIC,TabDPT_GPU,1132,567,8,0.189656762855236,0.49185646746913053,0.031325213611125946,0.8888888955116272,1.2534724501892924
SDSS17,TabDPT_GPU,52035,26018,3,0.04073321809286719,0.08114079579370008,0.0016319985734298825,0.9750941395759583,19.266560639021918
anneal,TabDPT_GPU,598,300,5,0.011657848508862785,0.04403685453341396,0.007552537135779858,0.9933333396911621,0.6371794189326465
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.06829513865103767,0.1743179268465232,0.0005170193617232144,0.9648985862731934,0.5091660269536078
maternal_health_risk,TabDPT_GPU,676,338,3,0.17671012408563444,0.3548424530557731,0.027035769075155258,0.8786982297897339,0.6196160740219057
splice,TabDPT_GPU,2126,1064,3,0.09821644255653313,0.17942769157176078,0.021606985479593277,0.9360902309417725,1.0388199160806835
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.32342271235299347,0.5684955736267184,0.020184138789772987,0.7606779932975769,0.9847675559576601
website_phishing,TabDPT_GPU,902,451,3,0.1140608912576927,0.2186098670966466,0.015936899930238724,0.9312638640403748,0.6969160709995776
