dataset,model,cal_size,test_size,n_classes,XGBoost_brier,XGBoost_logloss,XGBoost_ece-15,XGBoost_accuracy,XGBoost_time
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.32654643058776855,0.5869866609573364,0.03860544413328171,0.7776271104812622,0.05469264811836183
website_phishing,ModernNCA_GPU,902,451,3,0.13235503435134888,0.24602243304252625,0.03651706501841545,0.9135255217552185,0.03543772199191153
MIC,Mitra_GPU,1132,567,8,0.1861129254102707,0.4888679087162018,0.04527187719941139,0.8853615522384644,0.09850699384696782
anneal,Mitra_GPU,598,300,5,0.014769261702895164,0.05744452029466629,0.03430991992354393,0.996666669845581,0.04322281992062926
maternal_health_risk,Mitra_GPU,676,338,3,0.2063809037208557,0.3986577093601227,0.0699533000588417,0.8786982297897339,0.034673199988901615
splice,Mitra_GPU,2126,1064,3,0.04525557532906532,0.11534770578145981,0.044902049005031586,0.9736841917037964,0.04591149999760091
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.31793591380119324,0.5734665989875793,0.033606890588998795,0.7735593318939209,0.054021629970520735
website_phishing,Mitra_GPU,902,451,3,0.11937175691127777,0.2268361747264862,0.046216849237680435,0.9135255217552185,0.035263909958302975
MIC,TabDPT_GPU,1132,567,8,0.19450579583644867,0.5103029012680054,0.04715101048350334,0.8835979104042053,0.09604261186905205
SDSS17,TabDPT_GPU,52035,26018,3,0.04199342057108879,0.10325177758932114,0.02608819492161274,0.9753247499465942,0.4104675748385489
anneal,TabDPT_GPU,598,300,5,0.014822788536548615,0.0579293891787529,0.02609643153846264,0.9933333396911621,0.044199842028319836
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.06944327801465988,0.18426357209682465,0.005437282845377922,0.9648985862731934,0.04839937901124358
maternal_health_risk,TabDPT_GPU,676,338,3,0.1765635758638382,0.3397981524467468,0.058845825493335724,0.8905325531959534,0.034705481957644224
splice,TabDPT_GPU,2126,1064,3,0.10454913973808289,0.20829682052135468,0.04038980230689049,0.9276315569877625,0.04612869000993669
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.3258168697357178,0.5830591917037964,0.03032250702381134,0.7647457718849182,0.05441075284034014
website_phishing,TabDPT_GPU,902,451,3,0.11788748949766159,0.22329674661159515,0.03407900035381317,0.9290465712547302,0.03535259002819657
