dataset,model,cal_size,test_size,n_classes,Hist-uniform_brier,Hist-uniform_logloss,Hist-uniform_ece-15,Hist-uniform_accuracy,Hist-uniform_time
MIC,RealTabPFN-v2.5,1132,567,8,0.18444839879254468,0.4903591539364515,0.025870945304632187,0.8906525373458862,0.0041183780413120985
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.03313295466965858,0.0752236731678613,0.0021435751114040613,0.9803597331047058,0.015803165966644883
anneal,RealTabPFN-v2.5,598,300,5,0.012985336016340441,0.2444400833773191,0.004770398139953613,0.9933333396911621,0.0025441201869398355
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.0682667247234593,0.17381307191567602,1.436471939086914e-05,0.9648985862731934,0.0022822620812803507
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.1977599863749894,0.4017079300892492,0.06612195819616318,0.8786982297897339,0.0017120798584073782
splice,RealTabPFN-v2.5,2126,1064,3,0.043176279925536604,0.09395051328389195,0.013619857840240002,0.9755638837814331,0.0021473660599440336
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.3141236528290452,0.5608493586389791,0.023399904370307922,0.7755932211875916,0.0024915840476751328
website_phishing,RealTabPFN-v2.5,902,451,3,0.12042197701459685,0.36443993734244345,0.01804301328957081,0.9246119856834412,0.001816153060644865
MIC,TabICL_GPU,1132,567,8,0.19948392395930456,0.5257977393849996,0.03655697777867317,0.8835979104042053,0.004203625954687595
SDSS17,TabICL_GPU,52035,26018,3,0.0393281717473543,0.08828057125912857,0.0017457614885643125,0.9765162467956543,0.016514080110937357
anneal,TabICL_GPU,598,300,5,0.036534670581004715,0.9362323851749714,0.018947269767522812,0.9833333492279053,0.002562472131103277
maternal_health_risk,TabICL_GPU,676,338,3,0.18512599882336034,0.3652588015969512,0.040067076683044434,0.8846153616905212,0.0017377040348947048
splice,TabICL_GPU,2126,1064,3,0.07552571494977015,0.1487034343122006,0.009879598394036293,0.951127827167511,0.002148910891264677
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.3261960026622053,0.590374442448725,0.020022694021463394,0.7640677690505981,0.002562086097896099
website_phishing,TabICL_GPU,902,451,3,0.11615252526445748,0.2177773816544898,0.022145695984363556,0.9312638640403748,0.0018971511162817478
